element_type,osmid,addr:city,addr:country,addr:postcode,addr:street,geometry,addr:housenumber,entrance,source,fixme,addr:suburb,level,wheelchair,name,wikidata,amenity,wikimedia_commons,architect,heritage,heritage:operator,heritage:ref,image,note,description,wikipedia,roof:colour,opening_hours,building,nodes,building:levels,roof:levels,roof:shape,building:min_level,capacity,layer,operator,building:colour,addr:housename,start_date,height,roof:angle,disused:military,historic,location,old_start_date,roof:height,protect_class,website,area,BLfD:criteria,est_height,ref:BLfD,roof:material,architect:wikidata,building:architecture,roof:orientation,indoor_seating,outdoor_seating,phone,3dr:alpha1,3dr:type,building:levels:underground,noname,building:material,building:flats,smoking,nohousenumber,building:use,denomination,religion,roof:direction,contact:website,building:roof,building:part,source_ref,source:geometry,type,ways
way,30076655,,,,,"POLYGON ((11.5153826 48.13024, 11.515257 48.1302553, 11.5152891 48.1303731, 11.5153603 48.1303644, 11.5154005 48.1303595, 11.5153847 48.1303016, 11.5153989 48.1302998, 11.5153826 48.13024))",,,,,,,,,,,,,,,,,,,,,,residential,"[2440980495, 331278422, 331278417, 347603811, 331278418, 7256413253, 7256413252, 2440980495]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30189279,München,DE,81927,Stolzingstraße,"POLYGON ((11.631473 48.156474, 11.6318387 48.1564018, 11.6318087 48.1563342, 11.6317251 48.1561458, 11.6313595 48.156218, 11.631473 48.156474))",21,,,,Bogenhausen,,,,,,,,,,,,,,,,,residential,"[332624206, 332624207, 1535985629, 332624208, 332624211, 332624206]",13,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30215045,,,,,"POLYGON ((11.6290302 48.1771546, 11.6290452 48.1771477, 11.6291896 48.1771423, 11.6291939 48.1771186, 11.6292548 48.1771069, 11.6292452 48.1770021, 11.6291534 48.1770062, 11.6291584 48.177039, 11.6290072 48.1770448, 11.6290098 48.177078, 11.6290035 48.1770818, 11.6289979 48.1770885, 11.629 48.1771065, 11.6290039 48.1771137, 11.6290129 48.1771174, 11.6290137 48.1771277, 11.6290073 48.1771414, 11.6290173 48.1771515, 11.6290302 48.1771546))",,,Bing,,,,,,,,,,,,,,,,,,,residential,"[332977953, 3682596837, 332977957, 1536087864, 1536087865, 332977959, 1536087861, 1536087863, 332977960, 3682596836, 3682596843, 3682596848, 3682596841, 3682596847, 3682596845, 3682596846, 3682596842, 3682596844, 332977953]",,,half-hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30321796,,,,,"POLYGON ((11.514681 48.1306197, 11.5145672 48.1306384, 11.5145792 48.130671, 11.5146005 48.1307291, 11.5147143 48.1307104, 11.514681 48.1306197))",,,,,,,,,,,,,,,,,,,,,,residential,"[334325483, 334325486, 2441474665, 334325487, 334325488, 334325483]",2,1,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30321797,,,,,"POLYGON ((11.5145067 48.130767, 11.5144807 48.1306926, 11.5144693 48.1306602, 11.514341 48.1306802, 11.5143784 48.130787, 11.5145067 48.130767))",,,,,,,,,,,,,,,,,,,,,,residential,"[334325489, 2441474582, 334325491, 334325493, 334325496, 334325489]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30322518,,,,,"POLYGON ((11.515684 48.1294115, 11.5155984 48.1294708, 11.5155597 48.1294986, 11.5156114 48.1295309, 11.5156649 48.1295642, 11.5157897 48.1294769, 11.515684 48.1294115))",,,,,,,,,,,,,,,,,,,,,,residential,"[4442603263, 344723227, 334334896, 344723229, 334334899, 4442603272, 4442603263]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30322520,,,,,"POLYGON ((11.5153447 48.1296281, 11.5154823 48.129607, 11.5154591 48.1295394, 11.515403 48.129548, 11.5153215 48.1295604, 11.5153447 48.1296281))",,,,,,,,,,,,,,,,,,,,,,residential,"[334334902, 334334904, 334334908, 344723218, 334334911, 334334902]",,,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30322521,,,,,"POLYGON ((11.5146235 48.1297348, 11.5147498 48.1297157, 11.5147258 48.1296449, 11.5145995 48.129664, 11.5146115 48.1296992, 11.5146235 48.1297348))",,,,,,,,,,,,,,,,,,,,,,residential,"[334334916, 334334918, 334334921, 334334924, 344723231, 334334916]",1,1,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30322522,,,,,"POLYGON ((11.5146696 48.1298815, 11.5147736 48.1298646, 11.5148415 48.1298536, 11.5148087 48.1297636, 11.5147413 48.1297746, 11.5146368 48.1297916, 11.5146696 48.1298815))",,,,,,,,,,,,,,,,,,,,,,residential,"[334334927, 2540437599, 334334931, 334334934, 2540437594, 334334938, 334334927]",2,1,pyramidal,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30322523,,,,,"POLYGON ((11.5147276 48.130014, 11.5148547 48.129993, 11.5148253 48.1299138, 11.5146982 48.1299348, 11.5147146 48.1299789, 11.5147276 48.130014))",,,,,,,,,,,,,,,,,,,,,,residential,"[334334941, 334334945, 334334948, 334334951, 344723233, 334334941]",2,1,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
