element_type,osmid,amenity,capacity,fee,network,opening_hours,operator,payment:coins,payment:debit_cards,ref,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amperage,socket:type2,source,source:delivery_date,voltage,authentication:membership_card,description,manufacturer,motorcar,name,socket:schuko,operator:short,operator:wikidata,operator:wikipedia,website,fixme,authentication:nfc,authentication:none,access,capacity:car,socket:type2_combo,scooter,layer,level,note,covered,bicycle,service:bicycle:charging,service:bicycle:pump,socket:schuko:current,socket:type2:output,contact:phone,contact:website,socket:chademo,socket:chademo:output,socket:type2_combo:output,capacity:charging,description:en,truck,wheelchair,cars,trucks,authentication:app,parking:fee,check_date,status,maxstay,power,traffic_sign,brand,authentication:phone_call,authentication:short_message,surveillance:type,charging_station:output,name:de,name:en,object:city,object:country,object:housenumber,object:postcode,object:street,socket:type2:current,socket:type2:voltage,brand:wikidata,brand:wikipedia,short_name,maxstay:conditional,authentication:membership_card:types,payment:membership_card,ref:EU:EVSE,socket:type:output,cargo,payment:account_cards,payment:credit_cards,payment:electronic_purses,payment:notes,phone,vending,contact:email,note:en,motor_vehicle,charge,image,amenity:wikipedia,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,payment:maestro,ref:ocm
node,5176529131,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME005401,POINT (11.5464044 48.1029182),,,,,,,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176529136,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME010801,POINT (11.5264466 48.0973269),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176529262,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME010701,POINT (11.5265547 48.0973285),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176535632,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,,,POINT (11.5825362 48.1322141),,,,,,32,,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176535633,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,,,POINT (11.5832218 48.1328564),,,,,,32,,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176771605,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,,DESWM012501,POINT (11.5705159 48.1130233),,,,,,32,,,,400,no,,,yes,,,SWM,Q882871,de:Stadtwerke München,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,DE:365-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179566337,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME010501,POINT (11.6449757 48.0871109),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179568441,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME011101;DESWME011102,POINT (11.6448112 48.0985278),,,,,,32,,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179568541,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME009401,POINT (11.586785 48.1413876),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179568545,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME010601,POINT (11.6449991 48.0870192),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179568546,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME011201;DESWME011202,POINT (11.6447603 48.0984418),,,,,,32,,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179568803,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME009301,POINT (11.5867182 48.1413943),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5179569145,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München GmbH,,ladenetz.de,DESWME011001,POINT (11.6308829 48.1008878),,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/Ökostrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5182601543,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.5258766 48.1157773),,,,,,32,2,local knowledge;https://carsharing.mvg-mobil.de/,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5182601544,charging_station,2,yes,,,Stadtwerke München,,,,POINT (11.5258702 48.1158724),,,,,,32,2,local knowledge,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5196580623,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME008801,POINT (11.6204924 48.1916945),,,,,,32,,,,400,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5196580624,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME008901,POINT (11.6203681 48.1917211),,,,,,32,,,,400,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5201752312,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWM014101;DESWM014102,POINT (11.534122 48.1127141),,,,,,,,,,,rfid,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,ladenetz.de RFID card or 'MVG more' App,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5201754295,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWM014001;DESWM014002,POINT (11.534232 48.1127177),,,,,,,,,,,rfid,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,ladenetz.de RFID card or 'MVG more' App,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5207346420,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWM012201;DESWM012202,POINT (11.5809068 48.0971905),,,,,,,,,,,rfid,ladenetz.de RFID card or 'MVG more' App,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5207350624,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWM012301;DESWM012302,POINT (11.5809727 48.0972791),,,,,,,,,,,rfid,ladenetz.de RFID card or 'MVG more' App,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5212598521,charging_station,,,,,Autohaus Christl & Schowalter,,,,POINT (11.4983746 48.0878134),,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5230458361,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,ladenetz.de,,POINT (11.6713827 48.1213803),,,,,,32,,,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,no,no,,,,no,,,,,no,,,,,,,,,,,,no,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5285375275,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5733282 48.1801728),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5289269868,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,,POINT (11.5787055 48.1218419),,,,,,32,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5289272122,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,,POINT (11.5786511 48.1217965),,,,,,32,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5289276712,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,,POINT (11.5941001 48.1290694),,,,,,32,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
