element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
way,486665993,,parking_space,"POLYGON ((11.5306634 48.1364867, 11.5306541 48.1364414, 11.5306872 48.1364384, 11.5306965 48.1364837, 11.5306634 48.1364867))",,1,"[4792438752, 4792438751, 4792438753, 4792438754, 4792438752]",,,,,,,,,,,,,,,,,,,,,
way,486665994,,parking_space,"POLYGON ((11.5306965 48.1364837, 11.5306872 48.1364384, 11.5307249 48.1364349, 11.5307342 48.1364802, 11.5306965 48.1364837))",,1,"[4792438754, 4792438753, 4792438755, 4792438756, 4792438754]",,,,,,,,,,,,,,,,,,,,,
way,486665995,,parking_space,"POLYGON ((11.5307342 48.1364802, 11.5307249 48.1364349, 11.5307562 48.136432, 11.5307655 48.1364773, 11.5307342 48.1364802))",,1,"[4792438756, 4792438755, 4792438757, 4792438758, 4792438756]",,,,,,,,,,,,,,,,,,,,,
way,486665996,,parking_space,"POLYGON ((11.5307655 48.1364773, 11.5307562 48.136432, 11.5307891 48.136429, 11.5307984 48.1364743, 11.5307655 48.1364773))",,1,"[4792438758, 4792438757, 4792438759, 4792438760, 4792438758]",,,,,,,,,,,,,,,,,,,,,
way,486665997,,parking_space,"POLYGON ((11.5307984 48.1364743, 11.5307891 48.136429, 11.5308268 48.1364256, 11.5308361 48.1364708, 11.5307984 48.1364743))",,1,"[4792438760, 4792438759, 4792438761, 4792438762, 4792438760]",,,,,,,,,,,,,,,,,,,,,
way,486665998,,parking_space,"POLYGON ((11.5308361 48.1364708, 11.5308268 48.1364256, 11.5308604 48.1364225, 11.5308698 48.1364678, 11.5308361 48.1364708))",,1,"[4792438762, 4792438761, 4792438763, 4792438766, 4792438762]",,,,,,,,,,,,,,,,,,,,,
way,555283754,customers,parking_space,"POLYGON ((11.444326 48.1500099, 11.4443677 48.1499995, 11.4443461 48.1499612, 11.4443045 48.1499716, 11.444326 48.1500099))",disabled,1,"[5357647332, 5357647329, 5357647330, 5357647331, 5357647332]",surface,,,,,,,,,,,,,,,,,,,,
way,555283755,customers,parking_space,"POLYGON ((11.4442073 48.1499881, 11.4442915 48.1499652, 11.4442676 48.1499261, 11.4441834 48.149949, 11.4442073 48.1499881))",disabled,2,"[5357647336, 5357647335, 5357647334, 5357647333, 5357647336]",surface,,,,,,,,,,,,,,,,,,,,
way,646051343,,parking_space,"POLYGON ((11.5435562 48.1455388, 11.5436015 48.1455299, 11.5436234 48.1455806, 11.5435793 48.1455893, 11.5435562 48.1455388))",,1,"[6071363207, 6071363204, 6071363205, 6071363206, 6071363207]",street_side,perpendicular,,,,,,,only,,,,,,,,,,,,
way,781424958,,parking_space,"POLYGON ((11.5849457 48.191324, 11.5846188 48.1913214, 11.5846199 48.191233, 11.5849473 48.1912357, 11.5849457 48.191324))",,,"[7295583340, 7295583339, 7295583338, 7295583337, 7295583340]",,,,,,,,,,,,,,,,,,,,,
