osmid,y,x,street_count,ref,highway,geometry
750030666,48.7349119,9.1121583,3,,,POINT (9.1121583 48.7349119)
750030726,48.7351222,9.1153897,1,,,POINT (9.1153897 48.7351222)
750030827,48.7345084,9.1158985,1,,,POINT (9.1158985 48.7345084)
759958895,48.7289081,9.0815373,1,,,POINT (9.0815373 48.7289081)
759958904,48.7327537,9.0792018,1,,,POINT (9.0792018 48.7327537)
759958929,48.7325239,9.0789954,3,,,POINT (9.0789954 48.7325239)
759958972,48.7321945,9.0787386,4,,,POINT (9.0787386 48.7321945)
759959001,48.7320006,9.0802942,3,,,POINT (9.0802942 48.7320006)
759959012,48.7320369,9.0769454,1,,,POINT (9.0769454 48.7320369)
759959030,48.7309202,9.080229,3,,,POINT (9.080229 48.7309202)
759959043,48.7316025,9.0782103,3,,,POINT (9.0782103 48.7316025)
759959080,48.7269773,9.0790497,3,,,POINT (9.0790497 48.7269773)
759959088,48.731661,9.0800678,4,,,POINT (9.0800678 48.731661)
759959110,48.725211,9.0798346,1,,,POINT (9.0798346 48.725211)
759959111,48.7310835,9.0797982,3,,,POINT (9.0797982 48.7310835)
759959119,48.7322045,9.0804677,1,,,POINT (9.0804677 48.7322045)
759959194,48.7324929,9.0779045,1,,,POINT (9.0779045 48.7324929)
760636784,48.7341817,9.110185,1,,,POINT (9.110185 48.7341817)
762147408,48.7957114,9.1822166,3,,,POINT (9.1822166 48.7957114)
762147517,48.7959026,9.1808742,1,,,POINT (9.1808742 48.7959026)
765746919,48.7822699,9.1709126,4,,,POINT (9.1709126 48.7822699)
765746925,48.7822767,9.1707242,4,,,POINT (9.1707242 48.7822767)
765746932,48.8145457,9.2126699,4,,,POINT (9.2126699 48.8145457)
765871342,48.7332782,9.0880266,3,,,POINT (9.0880266 48.7332782)
765871423,48.733403,9.0892528,1,,,POINT (9.0892528 48.733403)
766401881,48.7902508,9.2492705,1,,,POINT (9.2492705 48.7902508)
766422676,48.8072059,9.1921575,3,,,POINT (9.1921575 48.8072059)
766422968,48.8072846,9.1934643,3,,,POINT (9.1934643 48.8072846)
766426001,48.8138648,9.2090505,3,,,POINT (9.2090505 48.8138648)
766426002,48.8140681,9.2093899,3,,,POINT (9.2093899 48.8140681)
766426003,48.814789,9.2083976,3,,,POINT (9.2083976 48.814789)
766426004,48.8145966,9.2080735,3,,,POINT (9.2080735 48.8145966)
766426381,48.8098696,9.2110245,3,,,POINT (9.2110245 48.8098696)
766426391,48.8105454,9.2117969,1,,,POINT (9.2117969 48.8105454)
766432353,48.817722,9.2361687,1,,,POINT (9.2361687 48.817722)
766432359,48.8180773,9.2361628,3,,,POINT (9.2361628 48.8180773)
766432365,48.8178479,9.2363344,1,,,POINT (9.2363344 48.8178479)
766439817,48.8202714,9.2268378,3,,,POINT (9.2268378 48.8202714)
766439855,48.8203518,9.2256681,3,,,POINT (9.2256681 48.8203518)
766439873,48.8202465,9.2265047,2,,,POINT (9.2265047 48.8202465)
766442935,48.8199135,9.2257488,1,,,POINT (9.2257488 48.8199135)
767057918,48.7593909,9.2221651,1,,,POINT (9.2221651 48.7593909)
769153728,48.8002325,9.1873134,3,,,POINT (9.1873134 48.8002325)
769861083,48.69615,9.1955789,4,,traffic_signals,POINT (9.1955789 48.69615)
773326996,48.78923,9.249409,3,,,POINT (9.249409 48.78923)
773551969,48.7696758,9.2460106,3,,,POINT (9.2460106 48.7696758)
775293776,48.758014,9.2537894,1,,,POINT (9.2537894 48.758014)
775300008,48.7589199,9.2551833,3,,,POINT (9.2551833 48.7589199)
776169369,48.8107949,9.1527484,1,,,POINT (9.1527484 48.8107949)
777336504,48.6956131,9.1952609,1,,,POINT (9.1952609 48.6956131)
777336517,48.6951921,9.1964242,3,,,POINT (9.1964242 48.6951921)
783286887,48.7874942,9.1552571,1,,turning_circle,POINT (9.1552571 48.7874942)
787169390,48.7581865,9.1665975,1,,,POINT (9.1665975 48.7581865)
787169394,48.7581122,9.1674127,3,,,POINT (9.1674127 48.7581122)
793214268,48.807086,9.1938973,3,,,POINT (9.1938973 48.807086)
793214273,48.8072603,9.1938301,3,,,POINT (9.1938301 48.8072603)
799045908,48.8158679,9.1097135,1,,,POINT (9.1097135 48.8158679)
799045914,48.8162279,9.1096415,3,,,POINT (9.1096415 48.8162279)
800709642,48.7784988,9.2329575,3,,,POINT (9.2329575 48.7784988)
802229494,48.7840219,9.131074,1,,,POINT (9.131074 48.7840219)
802229495,48.7842513,9.1307468,3,,,POINT (9.1307468 48.7842513)
802229499,48.78383,9.1308629,1,,,POINT (9.1308629 48.78383)
802229503,48.7842881,9.1310045,3,,,POINT (9.1310045 48.7842881)
802912016,48.8354165,9.2251023,3,,,POINT (9.2251023 48.8354165)
802912022,48.8357109,9.2247924,1,,,POINT (9.2247924 48.8357109)
803639070,48.7745683,9.1452432,3,,,POINT (9.1452432 48.7745683)
803741456,48.7709543,9.1505925,3,,,POINT (9.1505925 48.7709543)
809716407,48.7791326,9.1679235,1,,,POINT (9.1679235 48.7791326)
810169948,48.7571103,9.2543957,1,,,POINT (9.2543957 48.7571103)
810169949,48.7570589,9.2538631,3,,,POINT (9.2538631 48.7570589)
810172715,48.7570209,9.2534375,3,,,POINT (9.2534375 48.7570209)
821923344,48.7926623,9.2277791,3,,,POINT (9.2277791 48.7926623)
821924196,48.7920043,9.227987,1,,,POINT (9.227987 48.7920043)
822808309,48.7173739,9.0962636,3,,,POINT (9.0962636 48.7173739)
824675239,48.7763702,9.2521322,3,,,POINT (9.2521322 48.7763702)
824675246,48.7764794,9.2513255,3,,,POINT (9.2513255 48.7764794)
825731990,48.7592779,9.1588055,3,,,POINT (9.1588055 48.7592779)
826530730,48.782036,9.1271032,1,,turning_circle,POINT (9.1271032 48.782036)
826671762,48.7643974,9.1633658,2,,,POINT (9.1633658 48.7643974)
830470529,48.7757845,9.1652705,3,,,POINT (9.1652705 48.7757845)
830470531,48.7756957,9.1649747,1,,,POINT (9.1649747 48.7756957)
835519245,48.7654971,9.251626,3,,,POINT (9.251626 48.7654971)
835519481,48.7651972,9.2512231,1,,,POINT (9.2512231 48.7651972)
837598339,48.829422,9.2158399,3,,,POINT (9.2158399 48.829422)
837641936,48.8331451,9.2246327,1,,,POINT (9.2246327 48.8331451)
838625865,48.7607859,9.256329,1,,,POINT (9.256329 48.7607859)
840056587,48.7707123,9.1300458,1,,,POINT (9.1300458 48.7707123)
840056602,48.7704629,9.1296998,1,,,POINT (9.1296998 48.7704629)
842302994,48.8080979,9.0892934,1,,,POINT (9.0892934 48.8080979)
842303011,48.807612,9.0904072,3,,,POINT (9.0904072 48.807612)
842387477,48.8285299,9.0951291,3,,,POINT (9.0951291 48.8285299)
842387543,48.8284544,9.0956744,3,,,POINT (9.0956744 48.8284544)
844075411,48.7821911,9.1642498,1,P 1,,POINT (9.1642498 48.7821911)
844075421,48.8097529,9.1443536,1,,turning_circle,POINT (9.1443536 48.8097529)
844075426,48.810342,9.1446387,3,,,POINT (9.1446387 48.810342)
844075428,48.781129,9.1629589,1,P 2,,POINT (9.1629589 48.781129)
845375821,48.8392415,9.1992145,3,,,POINT (9.1992145 48.8392415)
845375841,48.8396515,9.1976533,1,,,POINT (9.1976533 48.8396515)
845375857,48.8390201,9.1981422,3,,,POINT (9.1981422 48.8390201)
845375890,48.8407201,9.199521,1,,,POINT (9.199521 48.8407201)
845375922,48.8393288,9.1979888,1,,,POINT (9.1979888 48.8393288)
845407215,48.8071242,9.1112906,1,,,POINT (9.1112906 48.8071242)
845407226,48.8072193,9.1126602,1,,,POINT (9.1126602 48.8072193)
845407232,48.8071716,9.1119124,1,,,POINT (9.1119124 48.8071716)
845407233,48.8070476,9.1126911,3,,,POINT (9.1126911 48.8070476)
845407234,48.8070804,9.1131579,3,,,POINT (9.1131579 48.8070804)
846291473,48.7387803,9.1656922,3,,,POINT (9.1656922 48.7387803)
846291483,48.7386128,9.1655948,1,,,POINT (9.1655948 48.7386128)
846294627,48.7378068,9.1654152,3,,,POINT (9.1654152 48.7378068)
848211759,48.7700997,9.2013597,1,,turning_circle,POINT (9.2013597 48.7700997)
849399851,48.8099255,9.1240463,3,,,POINT (9.1240463 48.8099255)
853615545,48.730754,9.1467572,3,,,POINT (9.1467572 48.730754)
853615553,48.7303718,9.1451368,3,,,POINT (9.1451368 48.7303718)
858857599,48.843888,9.2319864,3,,,POINT (9.2319864 48.843888)
858857693,48.84437,9.2310091,1,,,POINT (9.2310091 48.84437)
858857743,48.8409863,9.2290067,1,,turning_circle,POINT (9.2290067 48.8409863)
861394011,48.7455523,9.2184623,1,,,POINT (9.2184623 48.7455523)
862168826,48.726296,9.1343986,1,,,POINT (9.1343986 48.726296)
863022593,48.7477016,9.2392892,1,,,POINT (9.2392892 48.7477016)
863194866,48.7274772,9.1403466,3,,,POINT (9.1403466 48.7274772)
863490091,48.7477552,9.2394035,3,,,POINT (9.2394035 48.7477552)
863490098,48.7481586,9.2391179,1,,,POINT (9.2391179 48.7481586)
867351940,48.8207045,9.1732183,3,,,POINT (9.1732183 48.8207045)
867351946,48.8202195,9.1726143,3,,,POINT (9.1726143 48.8202195)
867352033,48.8206769,9.1731544,3,,,POINT (9.1731544 48.8206769)
867352045,48.8203216,9.172493,3,,,POINT (9.172493 48.8203216)
869334879,48.8201364,9.1727001,3,,,POINT (9.1727001 48.8201364)
869426516,48.7282771,9.0716168,3,,,POINT (9.0716168 48.7282771)
870697941,48.7627932,9.2528589,3,,,POINT (9.2528589 48.7627932)
870698337,48.7627096,9.2529235,1,,,POINT (9.2529235 48.7627096)
870800846,48.7629361,9.253622,1,,,POINT (9.253622 48.7629361)
870820952,48.7626341,9.2657767,3,,,POINT (9.2657767 48.7626341)
870841176,48.7761302,9.2369294,1,,,POINT (9.2369294 48.7761302)
870841646,48.7766744,9.238434,1,,,POINT (9.238434 48.7766744)
871051955,48.7813345,9.1865823,5,,,POINT (9.1865823 48.7813345)
871051981,48.781268,9.1868135,4,,,POINT (9.1868135 48.781268)
878793593,48.7757956,9.155724,1,,,POINT (9.155724 48.7757956)
881783412,48.807109,9.1944425,3,,,POINT (9.1944425 48.807109)
