element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,entrance,geometry,source,access,building,name,description,note,operator,website,wheelchair,check_date,url,nodes,building:levels,roof:levels,roof:shape,building:colour,building:material,roof:colour,roof:material,roof:orientation,service,was:amenity,was:cuisine,was:name,was:website,building:levels:underground,fixme,reg_name,start_date,source:roof:shape,name:wikipedia,height,name:building,phone,source:addr,nohousenumber,owner,wikidata,ele,roof:height,building:part,operator:url,proposed:name,start_date:construction,proposed:roof:shape,construction,building:parts,architect,building:name,building:min_level,ways,type
way,38665953,Stuttgart,DE,43,70565,Galileistraße,,,"POLYGON ((9.1186899 48.7193545, 9.1186483 48.719269, 9.1184328 48.7193146, 9.1184744 48.7194001, 9.1186899 48.7193545))",Luftbild LHS,,residential,,,,,,,,,"[2091606252, 2091606251, 457945258, 457945253, 2091606252]",3,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38665966,Stuttgart,DE,31,70565,Galileistraße,,,"POLYGON ((9.1189641 48.7200562, 9.11876 48.7201015, 9.1187177 48.7200185, 9.1189217 48.7199732, 9.1189641 48.7200562))",Luftbild LHS,,residential,,,,,,,,,"[2084635483, 457945311, 457945308, 2084635480, 2084635483]",3,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38665967,Stuttgart,DE,35,70565,Galileistraße,,,"POLYGON ((9.1188115 48.7197448, 9.1186093 48.7197883, 9.118653 48.7198767, 9.1188552 48.7198333, 9.1188115 48.7197448))",Luftbild LHS,,residential,,,,,,,,,"[2091606257, 457945315, 457945312, 2091606258, 2091606257]",3,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39045932,Stuttgart,DE,10,70565,Steinbachstraße,,,"POLYGON ((9.1111558 48.7165577, 9.1113146 48.7165694, 9.1112942 48.7166898, 9.1111354 48.7166782, 9.1111558 48.7165577))",,,residential,,,,,,,,,"[465868619, 465868622, 465868624, 465868628, 465868619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39068505,Stuttgart,DE,16,70565,Karl-Weller-Straße,,,"POLYGON ((9.1102517 48.7176466, 9.1103982 48.7176551, 9.1104104 48.7175644, 9.1102639 48.7175559, 9.1102517 48.7176466))",,,residential,,,,,,,,,"[466340182, 466340186, 466340189, 466340191, 466340182]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39069645,Stuttgart,DE,18,70565,Karl-Weller-Straße,,,"POLYGON ((9.1102243 48.7177979, 9.1102077 48.7178808, 9.1103642 48.7178944, 9.1103807 48.7178115, 9.1102243 48.7177979))",,,residential,,,,,,,,,"[466367083, 466367089, 466367086, 466367085, 466367083]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39069646,Stuttgart,DE,17,70565,Egelhaafstraße,,,"POLYGON ((9.1099317 48.7172404, 9.1099111 48.71738, 9.1100349 48.7173926, 9.1100556 48.717253, 9.1099317 48.7172404))",,,residential,,,,,,,,,"[466367090, 466367097, 466367096, 466367094, 466367090]",1,2,gambrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39069648,Stuttgart,DE,15,70565,Egelhaafstraße,,,"POLYGON ((9.1098733 48.7172536, 9.1097484 48.7172451, 9.1097311 48.7173554, 9.1098561 48.7173639, 9.1098733 48.7172536))",,,residential,,,,,,,,,"[466367100, 466367101, 466367103, 466367105, 466367100]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39069649,Stuttgart,DE,13,70565,Egelhaafstraße,,,"POLYGON ((9.1095295 48.7172133, 9.1095176 48.7172992, 9.1096598 48.7173077, 9.1096717 48.7172219, 9.1095295 48.7172133))",,,residential,,,,,,,,,"[466367107, 466367113, 466367111, 466367109, 466367107]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39072684,Stuttgart,DE,30,70565,Auwiesenstraße,,,"POLYGON ((9.1101474 48.7212673, 9.1101593 48.7211941, 9.1100498 48.7211863, 9.1100378 48.7212595, 9.1101474 48.7212673))",,,residential,,,,,,,,,"[2186360235, 2186360231, 466439931, 466439924, 2186360235]",1,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39073590,Stuttgart,DE,45,70565,Karl-Weller-Straße,,,"POLYGON ((9.1095277 48.7208812, 9.1095408 48.7207886, 9.109486 48.7207852, 9.1094874 48.720775, 9.1094303 48.7207715, 9.1094285 48.7207845, 9.1093787 48.7207815, 9.1093751 48.7208067, 9.1093492 48.7208052, 9.1093435 48.7208459, 9.1093704 48.7208475, 9.109367 48.7208714, 9.1095277 48.7208812))",Yahoo,,residential,,,,,,,,,"[466464490, 466464496, 4888396872, 4888396874, 4888396873, 4888396871, 466464494, 4888396868, 4888396870, 4888396869, 4888396867, 466464491, 466464490]",2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
