element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,wheelchair,addr:country,amenity,nodes,building,building:levels,roof:shape,roof:levels,old_name,wikipedia,source,building:colour,height,roof:colour,roof:height,note,building:material,roof:material,fixme,roof:orientation,description,email,name,operator,operator:type,phone,social_facility,social_facility:for,website,roof:direction,addr:housename,building:levels:underground,building:min_level,check_date
way,317117193,"POLYGON ((8.6618473 50.1149927, 8.6618749 50.1150903, 8.661878 50.1151011, 8.6620573 50.1150802, 8.6620267 50.1149718, 8.6618473 50.1149927))",Frankfurt am Main,4,60325,Lessingstraße,,DE,,"[3233479399, 8647315617, 3233479404, 3233479402, 3233479398, 3233479399]",residential,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,332609371,"POLYGON ((8.6217096 50.1139156, 8.6215348 50.1139138, 8.621307 50.1143897, 8.6221494 50.1143998, 8.6223787 50.1139174, 8.6221981 50.1139193, 8.622168 50.113984, 8.6220743 50.1141849, 8.6220277 50.1142849, 8.621876 50.1142826, 8.6216881 50.1142798, 8.6215406 50.1142776, 8.6215766 50.1142003, 8.6216694 50.1140017, 8.6217096 50.1139156))",,,,,,,,"[3397568792, 3397568790, 3397568853, 3397568854, 3397568793, 3397568794, 3397568780, 3397568781, 3397568852, 3397568782, 3397568783, 3397568851, 3397568784, 3397568785, 3397568792]",residential,7,flat,,,,,,,,,,,,,,,,,,,,,,,,,1,,
way,336389510,"POLYGON ((8.657713 50.1064854, 8.6577505 50.1064461, 8.657297 50.1062654, 8.6573067 50.1062548, 8.6572162 50.1062197, 8.6572022 50.1062139, 8.6573018 50.1061125, 8.6573171 50.1061189, 8.6573287 50.1061237, 8.6573439 50.1061075, 8.6579563 50.1063506, 8.6579412 50.1063662, 8.6579661 50.106376, 8.6578233 50.1065292, 8.657713 50.1064854))",,,,,,,,"[3434312160, 7927835555, 9883700369, 9883700368, 9679325206, 3434312151, 1495145524, 3387535672, 9883700373, 9883700374, 9883700376, 9883700375, 3387535668, 3595051891, 3434312160]",residential,8,,,,,survey,,,,,Das ist ein Gebäude mit drei Eingängen!,,,,,,,,,,,,,,,,,,
way,372304556,"POLYGON ((8.7330183 50.1129103, 8.7332464 50.1129789, 8.7333081 50.1128944, 8.7332013 50.1128623, 8.73308 50.1128258, 8.7330183 50.1129103))",Frankfurt am Main,48,60314,Franziusstraße,,DE,,"[3758587603, 3758587604, 3758587602, 3758587598, 3758587594, 3758587603]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,385396665,"POLYGON ((8.6336574 50.1089854, 8.6346044 50.1090323, 8.6346221 50.1088795, 8.6336759 50.1088386, 8.6336574 50.1089854))",Frankfurt am Main,2,60486,Pariser Straße,,,,"[3887438059, 3887438057, 3887438060, 3887437456, 3887438059]",residential,7,flat,,,,,,,,,,,,,,,,,,,,,,,,Maksimir Park,,,
way,385715475,"POLYGON ((8.6338974 50.1096382, 8.6339147 50.1094797, 8.6336507 50.1094689, 8.6336325 50.1096253, 8.6338974 50.1096382))",Frankfurt am Main,9,60486,Römischer Ring,,,,"[3887437454, 3890527527, 3890527524, 3887437453, 3887437454]",residential,6,flat,,,,,,,,,,,,,,,,,,,,,,,,Horsky Park,,,
way,385715476,"POLYGON ((8.6339147 50.1094797, 8.6339356 50.1093156, 8.6336706 50.1093037, 8.6336507 50.1094689, 8.6339147 50.1094797))",Frankfurt am Main,11,60486,Römischer Ring,,,,"[3890527527, 3890527522, 3890527528, 3890527524, 3890527527]",residential,6,flat,,,,,,,,,,,,,,,,,,,,,,,,Horsky Park,,,
way,385715477,"POLYGON ((8.6339356 50.1093156, 8.6339554 50.1091485, 8.6336905 50.1091355, 8.6336706 50.1093037, 8.6339356 50.1093156))",Frankfurt am Main,13,60486,Römischer Ring,,,,"[3890527522, 3887438061, 3887438058, 3890527528, 3890527522]",residential,6,flat,,,,,,,,,,,,,,,,,,,,,,,,Horsky Park,,,
way,385715478,"POLYGON ((8.6345806 50.1093411, 8.6346027 50.1091744, 8.6343599 50.109165, 8.6343407 50.1093286, 8.6345806 50.1093411))",Frankfurt am Main,3,60486,Römischer Ring,,,,"[3890527525, 3887438063, 3887438062, 3890527529, 3890527525]",residential,6,flat,,,,,,,,,,,,,,,,,,,,,,,,Athalassa Park,,,
way,385715479,"POLYGON ((8.6345605 50.1095062, 8.6345806 50.1093411, 8.6343407 50.1093286, 8.6343176 50.1094946, 8.6345605 50.1095062))",Frankfurt am Main,5,60486,Römischer Ring,,,,"[3890527526, 3890527525, 3890527529, 3890527523, 3890527526]",residential,6,flat,,,,,,,,,,,,,,,,,,,,,,,,Athalassa Park,,,
way,385715481,"POLYGON ((8.6345605 50.1095062, 8.6345414 50.1096631, 8.6343 50.10965, 8.6343176 50.1094946, 8.6345605 50.1095062))",Frankfurt am Main,7,60486,Römischer Ring,,,,"[3890527526, 3887437455, 3887438064, 3890527523, 3890527526]",residential,6,flat,,,,,,,,,,,,,,,,,,,,,,,,Athalassa Park,,,
way,385748652,"POLYGON ((8.63341 50.1094124, 8.6332167 50.1094058, 8.6332366 50.1091909, 8.6334308 50.1091977, 8.63341 50.1094124))",Frankfurt am Main,15,60486,Römischer Ring,,,,"[3890849026, 3890849025, 3887499400, 3887499409, 3890849026]",residential,5,flat,,,,,,,,,,,,,,,,,,,,,,,,Santa Catarina Park,,,
way,385748654,"POLYGON ((8.6333902 50.1096171, 8.63341 50.1094124, 8.6332167 50.1094058, 8.6331976 50.1096108, 8.6333902 50.1096171))",Frankfurt am Main,17,60486,Römischer Ring,,,,"[3887499402, 3890849026, 3890849025, 3887499403, 3887499402]",residential,5,flat,,,,,,,,,,,,,,,,,,,,,,,,Santa Catarina Park,,,
way,385750059,"POLYGON ((8.6331228 50.1089582, 8.6331282 50.1088202, 8.632846 50.1088082, 8.6328347 50.108947, 8.6331228 50.1089582))",Frankfurt am Main,6,60486,Pariser Straße,,,,"[3890864500, 3890864501, 3890864499, 3890864498, 3890864500]",residential,6,flat,1,,,,,,,,,,,,,,,,,,,,,,,Borghese Park,,,
way,385750060,"POLYGON ((8.6334408 50.1089717, 8.633455 50.1088341, 8.6331282 50.1088202, 8.6331228 50.1089582, 8.6334408 50.1089717))",Frankfurt am Main,4,60486,Pariser Straße,,,,"[3888334258, 3888334263, 3890864501, 3890864500, 3888334258]",residential,6,flat,1,,,,,,,,,,,,,,,,,,,,,,,Borghese Park,,,
way,385750061,"POLYGON ((8.6325636 50.1089344, 8.6328347 50.108947, 8.632846 50.1088082, 8.6325779 50.1087968, 8.6325636 50.1089344))",Frankfurt am Main,8,60486,Pariser Straße,,,,"[3888334257, 3890864498, 3890864499, 3888334260, 3888334257]",residential,6,flat,1,,,,,,,,,,,,,,,,,,,,,,,Borghese Park,,,
way,385750829,"POLYGON ((8.6271333 50.1098196, 8.6267771 50.1098064, 8.6267926 50.1096805, 8.6269779 50.1096876, 8.627152 50.1096942, 8.6271333 50.1098196))",,,,,,,,"[3890874796, 3890874797, 3890874798, 7714418911, 3890874795, 3890874796]",residential,4,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,385750830,"POLYGON ((8.6264452 50.1097912, 8.6267771 50.1098064, 8.6267926 50.1096805, 8.6266253 50.1096741, 8.6264567 50.1096677, 8.6264452 50.1097912))",,,,,,,,"[2367765272, 3890874797, 3890874798, 7714418913, 2367765290, 2367765272]",residential,4,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,385750831,"POLYGON ((8.6271333 50.1098196, 8.627152 50.1096942, 8.6273319 50.1097011, 8.6275129 50.109708, 8.6275015 50.1098315, 8.6271333 50.1098196))",,,,,,,,"[3890874796, 3890874795, 7714418909, 2367765286, 2367765293, 3890874796]",residential,4,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,385751831,"POLYGON ((8.6275061 50.1092841, 8.6275193 50.1091582, 8.6272643 50.1091471, 8.627251 50.109273, 8.6275061 50.1092841))",Frankfurt am Main,7,60486,Maastrichter Ring,,,,"[3051738134, 3051738233, 3890886496, 3890886498, 3051738134]",residential,5,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,385752707,"POLYGON ((8.6256301 50.109542, 8.6257415 50.1095455, 8.6258832 50.10955, 8.6258936 50.109415, 8.6256405 50.109407, 8.6256301 50.109542))",Frankfurt am Main,32,60486,Maastrichter Ring,,,,"[2367765302, 7714418915, 3890892217, 3890892220, 2367765297, 2367765302]",residential,5,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,385752708,"POLYGON ((8.6262263 50.1092318, 8.6259102 50.1092201, 8.6259212 50.10909, 8.62624 50.1091024, 8.6262263 50.1092318))",Frankfurt am Main,15,60486,Maastrichter Ring,,,,"[3890892215, 3890892219, 3890892214, 3890892218, 3890892215]",residential,5,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
