osmid,y,x,street_count,highway,ref,geometry
507004,50.1347071,8.6200363,3,,,POINT (8.6200363 50.1347071)
507083,50.1322791,8.6515955,3,motorway_junction,21,POINT (8.6515955 50.1322791)
507103,50.1123135,8.525215,3,,,POINT (8.525215 50.1123135)
507110,50.1261473,8.5614392,3,motorway_junction,18,POINT (8.5614392 50.1261473)
507123,50.1333918,8.5840697,3,motorway_junction,19,POINT (8.5840697 50.1333918)
507138,50.1323257,8.6126264,3,motorway_junction,20,POINT (8.6126264 50.1323257)
507140,50.0938788,8.4834584,3,motorway_junction,14,POINT (8.4834584 50.0938788)
507147,50.1149826,8.5319803,3,,,POINT (8.5319803 50.1149826)
507361,50.1348299,8.6199274,3,motorway_junction,20,POINT (8.6199274 50.1348299)
507363,50.1340759,8.6173549,3,,,POINT (8.6173549 50.1340759)
507380,50.1307723,8.578056,3,motorway_junction,18,POINT (8.578056 50.1307723)
507394,50.1141118,8.529601,3,,,POINT (8.529601 50.1141118)
507397,50.1121913,8.5243538,3,motorway_junction,15,POINT (8.5243538 50.1121913)
507401,50.1319155,8.6583606,3,motorway_junction,21,POINT (8.6583606 50.1319155)
507473,50.1325097,8.6181811,3,,,POINT (8.6181811 50.1325097)
507476,50.1330879,8.6153077,3,,,POINT (8.6153077 50.1330879)
507477,50.1349673,8.590692,3,,,POINT (8.590692 50.1349673)
507507,50.1147784,8.5339203,3,,,POINT (8.5339203 50.1147784)
507508,50.1151693,8.5337924,3,,,POINT (8.5337924 50.1151693)
507549,50.1359277,8.6568837,3,,,POINT (8.6568837 50.1359277)
507555,50.1346177,8.6563069,3,,,POINT (8.6563069 50.1346177)
507558,50.1334166,8.6566514,3,,,POINT (8.6566514 50.1334166)
507567,50.1111903,8.5236969,3,,,POINT (8.5236969 50.1111903)
507568,50.1113824,8.5238156,3,,,POINT (8.5238156 50.1113824)
507580,50.1341655,8.5867002,3,,,POINT (8.5867002 50.1341655)
507608,50.1345957,8.5892624,3,,,POINT (8.5892624 50.1345957)
507627,50.1321946,8.6569943,3,,,POINT (8.6569943 50.1321946)
507634,50.1292078,8.6561554,3,,,POINT (8.6561554 50.1292078)
507710,50.1311298,8.6540971,3,,,POINT (8.6540971 50.1311298)
507713,50.1120261,8.5223093,3,,,POINT (8.5223093 50.1120261)
507714,50.1118543,8.5220973,3,,,POINT (8.5220973 50.1118543)
507716,50.1319402,8.6102758,3,,,POINT (8.6102758 50.1319402)
507717,50.1335866,8.5974988,3,,,POINT (8.5974988 50.1335866)
507848,50.0625722,8.7078642,3,,,POINT (8.7078642 50.0625722)
508013,50.0572886,8.6432117,3,,,POINT (8.6432117 50.0572886)
508109,50.0522894,8.6212222,3,motorway_junction,50,POINT (8.6212222 50.0522894)
508215,50.0539222,8.5815903,3,,,POINT (8.5815903 50.0539222)
508367,50.0645057,8.7221471,3,,,POINT (8.7221471 50.0645057)
508489,50.0584596,8.647922,3,motorway_junction,51,POINT (8.647922 50.0584596)
513838,50.1553408,8.7060639,3,,,POINT (8.7060639 50.1553408)
516051,50.1338338,8.5970391,3,motorway_junction,19,POINT (8.5970391 50.1338338)
516063,50.1353983,8.5907667,3,,,POINT (8.5907667 50.1353983)
516383,50.1288767,8.5785796,3,,,POINT (8.5785796 50.1288767)
516714,50.1313292,8.5987942,3,,,POINT (8.5987942 50.1313292)
516716,50.1311039,8.5979474,3,,,POINT (8.5979474 50.1311039)
516723,50.1323758,8.5879532,3,,,POINT (8.5879532 50.1323758)
516724,50.1330044,8.5869256,3,,,POINT (8.5869256 50.1330044)
516728,50.1355058,8.5840419,3,,,POINT (8.5840419 50.1355058)
516779,50.1239326,8.5883127,4,,,POINT (8.5883127 50.1239326)
516936,50.1225463,8.5988732,4,,,POINT (8.5988732 50.1225463)
516937,50.123018,8.5982064,3,,,POINT (8.5982064 50.123018)
516948,50.1226251,8.5953366,3,,,POINT (8.5953366 50.1226251)
516956,50.123335,8.5887322,3,,,POINT (8.5887322 50.123335)
517395,50.1266804,8.5649659,3,,,POINT (8.5649659 50.1266804)
518254,50.1230894,8.5697084,3,,,POINT (8.5697084 50.1230894)
518256,50.1226096,8.570032,3,,,POINT (8.570032 50.1226096)
518258,50.121968,8.5704462,3,,,POINT (8.5704462 50.121968)
518260,50.1213925,8.5707205,3,,,POINT (8.5707205 50.1213925)
518270,50.1212182,8.5694459,4,,,POINT (8.5694459 50.1212182)
518286,50.11943,8.568134,3,,,POINT (8.568134 50.11943)
518290,50.1186936,8.5663934,3,,,POINT (8.5663934 50.1186936)
518293,50.1190328,8.5659582,3,,,POINT (8.5659582 50.1190328)
518294,50.1193883,8.5663337,3,,,POINT (8.5663337 50.1193883)
518313,50.1241288,8.5721696,4,crossing,,POINT (8.5721696 50.1241288)
519301,50.1279563,8.5879048,3,,,POINT (8.5879048 50.1279563)
519392,50.0547252,8.5837707,4,,,POINT (8.5837707 50.0547252)
519411,50.0508546,8.5640766,3,,,POINT (8.5640766 50.0508546)
519436,50.0533956,8.5775455,3,,,POINT (8.5775455 50.0533956)
519437,50.0539352,8.577912,3,,,POINT (8.577912 50.0539352)
519440,50.0549659,8.580177,3,,,POINT (8.580177 50.0549659)
519457,50.0526767,8.5848507,4,,,POINT (8.5848507 50.0526767)
519463,50.0514005,8.5837393,3,,,POINT (8.5837393 50.0514005)
519468,50.0516602,8.5843903,3,,,POINT (8.5843903 50.0516602)
519479,50.0527558,8.5889603,3,,,POINT (8.5889603 50.0527558)
519493,50.0524648,8.585055,3,,,POINT (8.585055 50.0524648)
519529,50.0568387,8.5887372,3,,,POINT (8.5887372 50.0568387)
519532,50.0578898,8.5935036,3,,,POINT (8.5935036 50.0578898)
519536,50.057468,8.6033232,3,motorway_junction,,POINT (8.6033232 50.057468)
519539,50.0570785,8.6069195,3,,,POINT (8.6069195 50.0570785)
519549,50.0558125,8.6348626,3,,,POINT (8.6348626 50.0558125)
519563,50.0696291,8.6519657,3,,,POINT (8.6519657 50.0696291)
519568,50.0758284,8.6539636,3,,,POINT (8.6539636 50.0758284)
519575,50.0785518,8.6571268,3,,,POINT (8.6571268 50.0785518)
519577,50.0793101,8.6575391,3,,,POINT (8.6575391 50.0793101)
519586,50.0805952,8.6556775,3,,,POINT (8.6556775 50.0805952)
519588,50.0790643,8.6549498,3,,,POINT (8.6549498 50.0790643)
519611,50.0598617,8.6460771,3,,,POINT (8.6460771 50.0598617)
519696,50.0554538,8.5817964,3,,,POINT (8.5817964 50.0554538)
519723,50.0566708,8.6481514,3,,,POINT (8.6481514 50.0566708)
519727,50.0562579,8.6467572,3,,,POINT (8.6467572 50.0562579)
519735,50.0567079,8.6471304,3,,,POINT (8.6471304 50.0567079)
519737,50.0559634,8.6467512,3,,,POINT (8.6467512 50.0559634)
519912,50.0274073,8.5196523,3,,,POINT (8.5196523 50.0274073)
519944,50.0262461,8.5195193,3,,,POINT (8.5195193 50.0262461)
519946,50.0258819,8.5194628,3,,,POINT (8.5194628 50.0258819)
520255,50.1135743,8.5987601,3,,,POINT (8.5987601 50.1135743)
520395,50.1242643,8.6698363,4,traffic_signals,,POINT (8.6698363 50.1242643)
520404,50.1235367,8.664655,3,,,POINT (8.664655 50.1235367)
520405,50.1258171,8.6637185,3,,,POINT (8.6637185 50.1258171)
520411,50.1233172,8.6632037,3,,,POINT (8.6632037 50.1233172)
520413,50.1231227,8.6617748,3,,,POINT (8.6617748 50.1231227)
520423,50.1214759,8.6590437,3,,,POINT (8.6590437 50.1214759)
520424,50.1208038,8.6592997,3,,,POINT (8.6592997 50.1208038)
520431,50.1177521,8.6590454,4,,,POINT (8.6590454 50.1177521)
520433,50.1162936,8.6582534,4,traffic_signals,,POINT (8.6582534 50.1162936)
520435,50.1153874,8.6577575,4,traffic_signals,,POINT (8.6577575 50.1153874)
520436,50.1146553,8.6572486,3,,,POINT (8.6572486 50.1146553)
520441,50.1135989,8.6564251,3,,,POINT (8.6564251 50.1135989)
520442,50.1135858,8.6566345,3,,,POINT (8.6566345 50.1135858)
520450,50.1125961,8.6550555,3,,,POINT (8.6550555 50.1125961)
520844,50.0626232,8.6488443,3,,,POINT (8.6488443 50.0626232)
520856,50.0560429,8.6353511,3,,,POINT (8.6353511 50.0560429)
520979,50.0754528,8.5437612,3,,,POINT (8.5437612 50.0754528)
520980,50.0773525,8.5441507,3,,,POINT (8.5441507 50.0773525)
521002,50.0790165,8.5493277,5,,,POINT (8.5493277 50.0790165)
521028,50.0754212,8.5434555,3,,,POINT (8.5434555 50.0754212)
521303,50.0778037,8.5492864,3,motorway_junction,,POINT (8.5492864 50.0778037)
521305,50.0771544,8.5467595,3,,,POINT (8.5467595 50.0771544)
521332,50.0807383,8.5462076,4,,,POINT (8.5462076 50.0807383)
521335,50.0796094,8.5487359,3,,,POINT (8.5487359 50.0796094)
521336,50.0787871,8.547592,3,,,POINT (8.547592 50.0787871)
521340,50.0779827,8.5449791,3,,,POINT (8.5449791 50.0779827)
521360,50.0723127,8.5438779,3,motorway_junction,,POINT (8.5438779 50.0723127)
521363,50.073577,8.5430378,3,,,POINT (8.5430378 50.073577)
521375,50.0804707,8.5479755,3,,,POINT (8.5479755 50.0804707)
521377,50.0808407,8.5463016,4,,,POINT (8.5463016 50.0808407)
521386,50.0960951,8.579113,3,,,POINT (8.579113 50.0960951)
521406,50.0883418,8.5696184,3,motorway_junction,,POINT (8.5696184 50.0883418)
521412,50.0897238,8.5711679,3,,,POINT (8.5711679 50.0897238)
521416,50.0944499,8.5770348,3,motorway_junction,,POINT (8.5770348 50.0944499)
521435,50.0743908,8.510171,3,motorway_junction,,POINT (8.510171 50.0743908)
521456,50.0751188,8.5079485,3,,,POINT (8.5079485 50.0751188)
521459,50.0881533,8.5692641,3,,,POINT (8.5692641 50.0881533)
521483,50.089607,8.5708185,3,motorway_junction,,POINT (8.5708185 50.089607)
521496,50.0577254,8.6020905,3,,,POINT (8.6020905 50.0577254)
521544,50.0559094,8.5832906,3,,,POINT (8.5832906 50.0559094)
521559,50.0543058,8.5744373,3,,,POINT (8.5744373 50.0543058)
