u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,tunnel,service,junction,width,access,est_width
529443,31382312,0,"[264583520, 8470802]",False,2,,unclassified,50,False,106.658,"LINESTRING (8.281284 49.9734081, 8.2813592 49.9734131, 8.2817527 49.9734339, 8.2824536 49.9734577, 8.2826733 49.9734716, 8.2827572 49.9734386)",,Alte Mainzer Straße,,,,,,
529443,529440,0,"[514883162, 4864221]",False,2,,residential,30,True,79.25500000000001,"LINESTRING (8.281284 49.9734081, 8.2811751 49.9734015, 8.280958 49.9733912, 8.2803905 49.9733642, 8.2801806 49.9733445)",,Vogelsbergstraße,,,,,,
529443,529691,0,"[148272349, 4847574, 755184511]",False,2,K 9,tertiary,50,False,262.756,"LINESTRING (8.281284 49.9734081, 8.281271 49.97349, 8.2812089 49.9738709, 8.281129 49.974364, 8.2811088 49.9744885, 8.281054 49.9748871, 8.2810064 49.9753469, 8.2809843 49.9756019, 8.2809668 49.9757619)",yes,Alte Mainzer Straße,,,,,,
529443,205495214,0,"[755184510, 1044436590]",False,"['3', '2']",K 9,tertiary,50,True,227.34699999999998,"LINESTRING (8.281284 49.9734081, 8.2812961 49.9733041, 8.2814437 49.9720318, 8.2814835 49.9718135, 8.2815575 49.9713714)",,Alte Mainzer Straße,,,,,,
529447,5356557151,0,23660175,False,,,residential,30,False,213.81,"LINESTRING (8.2782631 49.9924173, 8.2781244 49.9924178, 8.2780464 49.992413, 8.2779708 49.9923928, 8.2775828 49.9922173, 8.277287 49.9920592, 8.2770505 49.991879, 8.2762104 49.9911065)",,Wilhelmiterstraße,,,,,,
529447,31237126,0,52508517,False,2,K 9,tertiary,30,False,23.392000000000003,"LINESTRING (8.2782631 49.9924173, 8.2782707 49.9924668, 8.2782921 49.9925128, 8.2783289 49.9925531, 8.2783991 49.9926011)",,Salvatorstraße,,,,,,
529447,1193900103,0,"[52508518, 103394975]",False,2,K 9,tertiary,"['50', '30']",True,187.74599999999998,"LINESTRING (8.2782631 49.9924173, 8.2781952 49.9919228, 8.278186 49.9917965, 8.278204 49.9913662, 8.2782341 49.9911513, 8.2783621 49.9908096, 8.2783804 49.9907797, 8.278396 49.9907454)",,Salvatorstraße,,,,,,
529452,664451069,0,348368228,False,,,residential,30,True,26.25,"LINESTRING (8.2813637 49.9923712, 8.2813286 49.9923491, 8.2812865 49.9923293, 8.2812268 49.9923051, 8.2810547 49.9922457)",,Auf der Steig,,,,,,
529452,1600285995,0,"[29495026, 243090029, 916579879]",False,2,K 9,tertiary,"['50', '30']",False,116.57700000000001,"LINESTRING (8.2813637 49.9923712, 8.281492 49.9923444, 8.28191 49.99223, 8.2821588 49.9921616, 8.2822402 49.9921442, 8.2823056 49.9921389, 8.2823663 49.9921396, 8.2824228 49.9921472, 8.2824627 49.9921571, 8.2825278 49.992181, 8.2826035 49.9922325, 8.2826437 49.9922736, 8.2827442 49.9923828)",,Salvatorstraße,,,,,,
529452,31237126,0,"[52508517, 916579878, 916575655, 916579879, 243090031]",False,2,K 9,tertiary,30,True,217.50900000000001,"LINESTRING (8.2813637 49.9923712, 8.2812685 49.9923911, 8.280051 49.9926485, 8.2797992 49.9926602, 8.2790839 49.9926429, 8.2788778 49.9926379, 8.2786821 49.9926352, 8.2785998 49.9926332, 8.278539 49.9926277, 8.2784848 49.9926228, 8.2784346 49.9926113, 8.2783991 49.9926011)",,Salvatorstraße,,,,,,
529463,30697081,0,"[142939658, 138279268]",True,"['1', '2']",L 422,secondary,50,False,322.921,"LINESTRING (8.2519724 49.9975621, 8.2514751 49.9975477, 8.2505969 49.9975137, 8.2499674 49.9974705, 8.249564 49.9974377, 8.2493472 49.9974163, 8.2489108 49.99737, 8.2484549 49.9973147, 8.2482024 49.99728, 8.2480038 49.9972532, 8.2475041 49.9971765)",,Saarstraße,,,,,,
529463,529465,0,163136508,True,2,L 419,trunk,70,False,631.3209999999999,"LINESTRING (8.2519724 49.9975621, 8.251397 49.9975131, 8.2511039 49.9974873, 8.2504608 49.9974235, 8.2496617 49.9973444, 8.2487322 49.9972481, 8.2480589 49.997156, 8.2474689 49.9970554, 8.2466127 49.9968858, 8.2458384 49.9967302, 8.2448053 49.9964783, 8.2434598 49.9961407)",,Saarstraße,,,,,,
529465,256078683,0,"[629072272, 163136505]",True,"['3', '2']",L 419,trunk,70,False,998.5199999999999,"LINESTRING (8.2434598 49.9961407, 8.2425879 49.9959124, 8.2409548 49.9955139, 8.2384722 49.9949722, 8.2359944 49.9944391, 8.2347051 49.9941651, 8.2319688 49.9936263, 8.2310278 49.9934444, 8.2302177 49.9932933)",,Saarstraße,,,,,,
529472,529475,0,"[629072261, 629072268, 163136496, 163136503, 392431422]",True,"['2', '3']",L 419,trunk,50,False,557.396,"LINESTRING (8.2277101 49.9928272, 8.227065 49.9927105, 8.2267668 49.9926582, 8.2261981 49.992557, 8.2250438 49.9923478, 8.2230341 49.9920025, 8.2221153 49.9918451, 8.2210149 49.9916705, 8.2201712 49.9915506)",yes,Saarstraße,,,,,,
