element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,operator,postal_code,ref,website,description,heritage,historic,start_date,building,nodes,building:levels,roof:levels,source,height,roof:shape,end,unimainz:buildingId,name,building:colour,roof:material,source:height,note:3D,roof:colour,image,wikidata,wikipedia,building:material,source:housenumber,source:address,source:position,note,roof:height,construction,roof:direction,roof:orientation,fixme,social_facility,social_facility:for,source_date,source:geometry,phone,survey:date,tourism,building:flats,description:de,nohousenumber,building:architecture,heritage:operator,name:signed,noaddress,ways,type
way,243415601,"POLYGON ((8.2801795 49.9717937, 8.2800761 49.9717797, 8.2801207 49.9716433, 8.2802256 49.9716575, 8.2801795 49.9717937))",Mainz,DE,13,55129,Soonwaldstraße,,,,,,,,,,,residential,"[2508290793, 891828228, 891828120, 2508290788, 2508290793]",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,243415602,"POLYGON ((8.2799561 49.9717661, 8.2798908 49.9717572, 8.2799296 49.9716385, 8.2799949 49.9716474, 8.2799561 49.9717661))",Mainz,DE,15a,55129,Soonwaldstraße,,,,,,,,,,,residential,"[2508290790, 891828333, 891828149, 2508290787, 2508290790]",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,243415605,"POLYGON ((8.2788275 49.9715091, 8.2787076 49.9714931, 8.2787496 49.971363, 8.2788695 49.9713791, 8.2788275 49.9715091))",Mainz,DE,31,55129,Soonwaldstraße,,,,,,,,,,,residential,"[2508290786, 891828270, 891828309, 2508290783, 2508290786]",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,243415606,"POLYGON ((8.2785558 49.9713572, 8.2784559 49.971345, 8.278424 49.9714526, 8.2785239 49.9714648, 8.2785558 49.9713572))",Mainz,DE,35,55129,Soonwaldstraße,,,,,,,,,,,residential,"[2508290782, 891828293, 891828331, 2508290785, 2508290782]",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,243415607,"POLYGON ((8.278196 49.9714324, 8.2783032 49.9714511, 8.2783702 49.971292, 8.2782653 49.9712738, 8.278196 49.9714324))",Mainz,DE,37,55129,Soonwaldstraße,,,,,,,,,,,residential,"[2508290784, 891828352, 891828127, 2508290781, 2508290784]",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,243415609,"POLYGON ((8.2805158 49.9717226, 8.2804109 49.9717089, 8.2803756 49.9718207, 8.2804805 49.9718344, 8.2805158 49.9717226))",Mainz,DE,9,55129,Soonwaldstraße,,,,,,,,,,,residential,"[2508290789, 891828246, 891828133, 2508290796, 2508290789]",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,244565405,"POLYGON ((8.1851347 49.9989298, 8.1852386 49.998991, 8.1853974 49.9988796, 8.1852935 49.9988184, 8.1851347 49.9989298))",Mainz,DE,8,55124,Feilkirschshöhe,,,,,,,,,,,residential,"[2518699556, 2518699557, 2518699555, 2518699554, 2518699556]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,245871073,"POLYGON ((8.2498924 49.9880031, 8.2500282 49.9880165, 8.2500526 49.9879148, 8.2499168 49.9879013, 8.2498924 49.9880031))",Mainz,DE,162,55128,Draiser Straße,,,,,,,,,,,residential,"[2529741471, 2529741483, 2529741430, 2529741415, 2529741471]",2,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,246636468,"POLYGON ((8.2584578 50.0080461, 8.2582275 50.0078018, 8.2581309 50.0078394, 8.2580473 50.0077507, 8.2581431 50.0077134, 8.258158 50.0077291, 8.2583192 50.0076663, 8.2586183 50.0079836, 8.2584578 50.0080461))",Mainz,,"31, 33, 35",55118,Josefsstraße,,,,,,,,,,,residential,"[2455471791, 2455471764, 2455471768, 2455471757, 2455471755, 2536451529, 2536451531, 2455471784, 2455471791]",5,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,246638035,"POLYGON ((8.2576695 50.0079961, 8.2577497 50.007963, 8.2576759 50.0078891, 8.2575886 50.0079245, 8.2576695 50.0079961))",Mainz,,56,55118,Leibnizstraße,,,,,,,,,,,residential,"[2455471785, 2455471778, 2455471772, 2536471113, 2455471785]",5,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
