osmid,y,x,street_count,ref,highway,geometry
8310568268,49.4453551,7.7921101,1,,,POINT (7.7921101 49.4453551)
8310738570,49.4829475,7.7710116,3,,,POINT (7.7710116 49.4829475)
8310738571,49.4830271,7.7707155,1,,,POINT (7.7707155 49.4830271)
8310830359,49.4555469,7.8000054,3,,,POINT (7.8000054 49.4555469)
8310830360,49.4552306,7.800506,1,,,POINT (7.800506 49.4552306)
8310879447,49.3831067,7.8147333,1,,,POINT (7.8147333 49.3831067)
8310879455,49.3832864,7.8152699,3,,,POINT (7.8152699 49.3832864)
8311586715,49.488696,7.762876,3,,,POINT (7.762876 49.488696)
8311629818,49.4884843,7.7621957,1,,,POINT (7.7621957 49.4884843)
8314327475,49.4355949,7.7703727,3,,,POINT (7.7703727 49.4355949)
8314327494,49.4351309,7.7694822,1,,,POINT (7.7694822 49.4351309)
8314750952,49.4729306,7.7844469,3,,,POINT (7.7844469 49.4729306)
8314750953,49.4728297,7.7841768,1,,,POINT (7.7841768 49.4728297)
8318066659,49.4618148,7.7258315,1,,,POINT (7.7258315 49.4618148)
8318066661,49.461672,7.726403,3,,,POINT (7.726403 49.461672)
8323352979,49.4521663,7.7904572,3,,,POINT (7.7904572 49.4521663)
8323352980,49.4525536,7.7900388,1,,,POINT (7.7900388 49.4525536)
8323352981,49.4523845,7.7909408,3,,,POINT (7.7909408 49.4523845)
8323352982,49.4527727,7.7905264,1,,,POINT (7.7905264 49.4527727)
8417291566,49.4654379,7.6991471,3,,,POINT (7.6991471 49.4654379)
8424683519,49.4586146,7.8020206,3,,,POINT (7.8020206 49.4586146)
8424683525,49.4594332,7.801328,1,,,POINT (7.801328 49.4594332)
8424683526,49.4589041,7.799847,3,,,POINT (7.799847 49.4589041)
8424683528,49.4592259,7.8007516,1,,,POINT (7.8007516 49.4592259)
8425029725,49.4577294,7.7999268,3,,,POINT (7.7999268 49.4577294)
8425029728,49.4580416,7.7998319,1,,,POINT (7.7998319 49.4580416)
8448607701,49.4652396,7.6978628,1,,,POINT (7.6978628 49.4652396)
8622741008,49.4537032,7.8149735,1,,,POINT (7.8149735 49.4537032)
8622741010,49.4534085,7.814612,3,,,POINT (7.814612 49.4534085)
8633214679,49.4444489,7.7752837,3,,,POINT (7.7752837 49.4444489)
8633229028,49.4444828,7.7752122,3,,,POINT (7.7752122 49.4444828)
8645322366,49.4337654,7.7719489,1,,,POINT (7.7719489 49.4337654)
8714605762,49.4336678,7.6678943,3,,,POINT (7.6678943 49.4336678)
8714605771,49.4334915,7.667764,3,,,POINT (7.667764 49.4334915)
8714605781,49.4337322,7.6676398,3,,,POINT (7.6676398 49.4337322)
8728559720,49.4392959,7.6684369,3,,,POINT (7.6684369 49.4392959)
8768078503,49.4669257,7.6934327,1,,,POINT (7.6934327 49.4669257)
8768078504,49.4665874,7.6935189,3,,,POINT (7.6935189 49.4665874)
8810516627,49.4428563,7.7593867,4,,,POINT (7.7593867 49.4428563)
8843958719,49.4727108,7.7116955,3,,,POINT (7.7116955 49.4727108)
8843958721,49.4719095,7.7122339,1,,,POINT (7.7122339 49.4719095)
8855992142,49.4069641,7.7315123,3,,,POINT (7.7315123 49.4069641)
8855992143,49.4073014,7.7313913,1,,,POINT (7.7313913 49.4073014)
8872206021,49.4514769,7.7902688,1,,,POINT (7.7902688 49.4514769)
8872206022,49.4511691,7.7905763,3,,,POINT (7.7905763 49.4511691)
8872356966,49.4533751,7.787318,3,,,POINT (7.787318 49.4533751)
8872356971,49.4533141,7.7867373,1,,,POINT (7.7867373 49.4533141)
8872356986,49.4565177,7.7879519,1,,,POINT (7.7879519 49.4565177)
8872381185,49.4795451,7.7082813,3,,,POINT (7.7082813 49.4795451)
8872381187,49.4791793,7.7080217,1,,,POINT (7.7080217 49.4791793)
8872381189,49.4782726,7.7109012,1,,,POINT (7.7109012 49.4782726)
8872476105,49.4545848,7.8093893,1,,,POINT (7.8093893 49.4545848)
8872544983,49.4877195,7.7639673,3,,,POINT (7.7639673 49.4877195)
8872544984,49.4874143,7.7634856,1,,,POINT (7.7634856 49.4874143)
8873990698,49.4459268,7.7896675,3,,,POINT (7.7896675 49.4459268)
8873990701,49.4461314,7.790645,1,,,POINT (7.790645 49.4461314)
8874084154,49.4441288,7.7337406,3,,,POINT (7.7337406 49.4441288)
8874084157,49.4435786,7.7329533,1,,,POINT (7.7329533 49.4435786)
8874107602,49.4866595,7.7091092,3,,,POINT (7.7091092 49.4866595)
8874107606,49.4875034,7.7099552,1,,,POINT (7.7099552 49.4875034)
8912694104,49.4597156,7.7303641,3,,,POINT (7.7303641 49.4597156)
8912694106,49.4596265,7.7301421,1,,,POINT (7.7301421 49.4596265)
9001813024,49.4514854,7.7853891,3,,,POINT (7.7853891 49.4514854)
9001813034,49.4508201,7.7855823,1,,,POINT (7.7855823 49.4508201)
9006018230,49.4471722,7.8197738,3,,,POINT (7.8197738 49.4471722)
9009453028,49.441957,7.8175462,3,,,POINT (7.8175462 49.441957)
9013966337,49.4835626,7.7233376,3,,,POINT (7.7233376 49.4835626)
