u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,name,service,junction,access,width,tunnel,area
350721,270822456,0,24952632,False,,,living_street,,True,118.81500000000001,,"LINESTRING (7.7649937 49.4414088, 7.7649452 49.4413913, 7.7635971 49.4409064, 7.7635558 49.4408915)",Ziegelstraße,,,,,,
350721,1166352466,0,168875591,False,,,residential,50,False,68.405,,"LINESTRING (7.7649937 49.4414088, 7.7650023 49.4413774, 7.7651592 49.4408031)",Humboldtstraße,,,,,,
350721,271151760,0,168875591,False,,,residential,50,True,41.396,,"LINESTRING (7.7649937 49.4414088, 7.764984 49.4414413, 7.7648841 49.4417742)",Humboldtstraße,,,,,,
350725,1237071921,0,172436827,False,,,secondary,50,False,11.21,,"LINESTRING (7.7700998 49.4474714, 7.7700598 49.4475688)",Martin-Luther-Straße,,,,,,
350725,1290175653,0,25505658,True,2,,secondary,50,False,27.355000000000004,,"LINESTRING (7.7700998 49.4474714, 7.7700736 49.4473797, 7.7701352 49.4472323)",Martin-Luther-Straße,,,,,,
350725,277924172,0,"[107680416, 107680338, 45071900]",True,2,L 395,secondary,50,False,173.94899999999998,,"LINESTRING (7.7700998 49.4474714, 7.7702889 49.4475055, 7.7713149 49.4476873, 7.7722058 49.447849, 7.7722544 49.4478578, 7.7724192 49.4478877)",Ludwigstraße,,,,,,
350727,1107512450,0,32932426,True,,,secondary,50,False,20.745,,"LINESTRING (7.7707967 49.445838, 7.7705354 49.4459151)",Burgstraße,,,,,,
350727,277924204,0,25505657,True,,,secondary,50,False,36.246,,"LINESTRING (7.7707967 49.445838, 7.770876 49.4457732, 7.7709912 49.4456983, 7.7711617 49.4456174)",Martin-Luther-Straße,,,,,,
350727,1107517124,0,45072858,True,2,,residential,50,False,14.271999999999998,,"LINESTRING (7.7707967 49.445838, 7.7708211 49.4458808, 7.7708225 49.4459635)",Martin-Luther-Straße,,,,,,
350730,251760199,0,23264080,False,,,secondary,50,False,18.942,,"LINESTRING (7.7668915 49.4454841, 7.7668231 49.4454969, 7.7667769 49.4455051, 7.766641 49.4455339)",Burgstraße,,,,,,
350730,3415549841,0,368287218,False,3,,secondary,50,True,26.025,,"LINESTRING (7.7668915 49.4454841, 7.7670301 49.4454645, 7.7672479 49.4454565)",Burgstraße,,,,,,
350731,251760199,0,237367555,False,,,secondary,50,False,22.75,,"LINESTRING (7.7665009 49.4453507, 7.766641 49.4455339)",Maxstraße,,,,,,
350731,350730,0,23264085,True,1,,secondary_link,50,False,32.049,,"LINESTRING (7.7665009 49.4453507, 7.766591 49.4453929, 7.7666701 49.4454234, 7.7667258 49.4454393, 7.7668915 49.4454841)",Burgstraße,,,,,,
350731,6310515888,0,"[23264083, 824679892]",False,2,,secondary,50,True,194.45999999999998,,"LINESTRING (7.7665009 49.4453507, 7.7664425 49.4452811, 7.7663975 49.4452247, 7.7662647 49.4450714, 7.7660136 49.4447732, 7.7658857 49.4446365, 7.7658557 49.444604, 7.7658313 49.4445831, 7.7657596 49.4445227, 7.765658 49.4444736, 7.7655584 49.4444472, 7.7653496 49.4444195, 7.7650292 49.4443839, 7.7645936 49.4443345)","['Pariser Straße', 'Maxstraße']",,,,,,
350736,1874257609,0,172436823,False,,,residential,30,True,14.865,,"LINESTRING (7.768575 49.4472238, 7.7685108 49.4473508)",Benzinoring,,,,,,
350736,1290176141,0,45204014,True,3,L 395,secondary,50,False,76.864,,"LINESTRING (7.768575 49.4472238, 7.7687309 49.4472371, 7.7688748 49.447254, 7.76961 49.4473786)",Ludwigstraße,,,,,,
350736,350739,0,95511112,False,,,residential,,True,83.252,,"LINESTRING (7.768575 49.4472238, 7.7686029 49.4471669, 7.7686213 49.4471311, 7.7686357 49.4471039, 7.7686585 49.4470609, 7.7687479 49.4468738, 7.768811 49.4467418, 7.7689218 49.4465099)",Willy-Brandt-Platz,,,,,,
350739,3326045981,0,24930559,False,,,service,,True,50.607,,"LINESTRING (7.7689218 49.4465099, 7.7687946 49.4464867, 7.7687705 49.4464823, 7.7687499 49.4464785, 7.7682485 49.4463854)",,,,,,,
350739,350736,0,95511112,False,,,residential,,False,83.25200000000001,,"LINESTRING (7.7689218 49.4465099, 7.768811 49.4467418, 7.7687479 49.4468738, 7.7686585 49.4470609, 7.7686357 49.4471039, 7.7686213 49.4471311, 7.7686029 49.4471669, 7.768575 49.4472238)",Willy-Brandt-Platz,,,,,,
350739,338976112,0,95511112,False,,,residential,,True,12.498999999999999,,"LINESTRING (7.7689218 49.4465099, 7.7689435 49.4464604, 7.7689692 49.4464018)",Willy-Brandt-Platz,,,,,,
350744,5320909757,0,23264082,False,,,secondary,50,True,91.33000000000001,,"LINESTRING (7.7669263 49.4472564, 7.7669176 49.4470797, 7.7669172 49.4470552, 7.7669124 49.4467146, 7.7668945 49.4464354)",Maxstraße,,,,,,
350744,350736,0,"[159093033, 517188538]",True,"['4', '3']",L 395,secondary,50,False,120.86700000000002,,"LINESTRING (7.7669263 49.4472564, 7.7671301 49.447196, 7.7674136 49.4471834, 7.767491 49.4471835, 7.7680611 49.4471939, 7.7683385 49.4472078, 7.7683738 49.4472096, 7.768575 49.4472238)",Lauterstraße,,,,,,
350744,350746,0,810044903,False,,L 395,secondary,50,True,23.677,,"LINESTRING (7.7669263 49.4472564, 7.7667249 49.4472667, 7.7666872 49.4472689, 7.7665999 49.4472739)",Lauterstraße,,,,,,
350746,1291452826,0,113949656,False,,,service,,False,58.972,,"LINESTRING (7.7665999 49.4472739, 7.766586 49.447361, 7.7665155 49.4478014)",Am Abendsberg,driveway,,,,,
350746,255717939,0,"[153533459, 517188539]",False,4,L 395,secondary,50,True,137.393,,"LINESTRING (7.7665999 49.4472739, 7.7665177 49.4472777, 7.7659533 49.4473151, 7.7655813 49.4473416, 7.7650784 49.4473774, 7.7647095 49.4474007)",Lauterstraße,,,,,,
350746,350744,0,810044903,False,,L 395,secondary,50,False,23.677,,"LINESTRING (7.7665999 49.4472739, 7.7666872 49.4472689, 7.7667249 49.4472667, 7.7669263 49.4472564)",Lauterstraße,,,,,,
350748,1662141450,0,113799097,False,4,L 395,secondary,50,False,17.285,,"LINESTRING (7.7623289 49.4473856, 7.762568 49.4473854)",Lauterstraße,,,,,,
350748,2090001662,0,32932429,True,2,L 395,secondary,50,False,88.269,,"LINESTRING (7.7623289 49.4473856, 7.7619615 49.4474213, 7.7613278 49.4474343, 7.76124 49.4474385, 7.7611133 49.4474476)",Lauterstraße,,,,,,
350752,7192610481,0,"[770588943, 95084886, 770588942]",False,4,L 395,secondary,50,True,179.63200000000003,,"LINESTRING (7.757841 49.4477908, 7.756752 49.4478413, 7.7564858 49.4478547, 7.7562806 49.4478586, 7.7561197 49.4478586, 7.7559956 49.4478551, 7.7558602 49.447849, 7.7557341 49.4478408, 7.7556147 49.4478294, 7.7554779 49.4478116, 7.755368 49.4477946)",Lauterstraße,,,,,,
350752,1290176266,0,"[517188544, 113799051, 517188542]",True,"['3', '2']",L 395,secondary,50,False,232.258,,"LINESTRING (7.757841 49.4477908, 7.7580675 49.4477483, 7.7587175 49.4477183, 7.7591412 49.4476933, 7.7594534 49.447658, 7.7597397 49.4476099, 7.760695 49.4474274, 7.7608723 49.4473897, 7.7609744 49.4473735)",Lauterstraße,,,,,,
350777,2552529987,0,24824175,True,,,residential,,False,11.311,,"LINESTRING (7.749467 49.4454367, 7.749322 49.4454749)",Alte Brücke,,,,,,
350777,1681453515,0,248458478,False,,,residential,,False,27.843000000000004,,"LINESTRING (7.749467 49.4454367, 7.7495678 49.4453996, 7.749607 49.4453825, 7.7497793 49.4452914)",Alte Brücke,,,,,,
350777,5734167372,0,310842624,True,2,L 395,secondary,50,False,64.322,,"LINESTRING (7.749467 49.4454367, 7.7496579 49.4456334, 7.7498551 49.4458999, 7.7498847 49.4459462)",Berliner Straße,,,,,,
351059,260719569,0,24010299,True,1,B 270,trunk_link,70,False,114.152,,"LINESTRING (7.6997837 49.4701121, 7.6997721 49.4703373, 7.6997921 49.4704468, 7.6998516 49.4705579, 7.6999259 49.4706539, 7.700059 49.4707467, 7.7003551 49.4708721, 7.7004995 49.4709283)",,,,,,,
351059,6665869008,0,480797251,True,1,B 270,trunk,70,False,153.329,,"LINESTRING (7.6997837 49.4701121, 7.6997317 49.4702716, 7.6996578 49.4706855, 7.6995675 49.4710946, 7.6994674 49.471475)",,,,,,,
351069,7160374402,0,766664151,False,3,L 367,secondary,70,True,15.93,,"LINESTRING (7.684474 49.4795987, 7.6842561 49.4795768)",,,,,,,
