element_type,osmid,amenity,parking,geometry,access,fee,layer,name,wheelchair,toilets:wheelchair,surface,created_by,capacity,capacity:disabled,alt_name,lit,maxheight,operator,level,description,source,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,park_ride,nodes,designation,type,building,building:levels,roof:levels,roof:shape,brand,brand:wikidata,brand:wikipedia,building:parts,opening_hours,operator:wikidata,operator:wikipedia,capacity:parent,capacity:women,parking:condition,parking:condition:customers,fixme,hgv,supervised,cables,ref,parking:condition:private,charge,name:etymology:wikidata,parking:lane:right,capacity:long,building:part,area,building:levels:underground,operator:type,orientation,ways
way,30697063,parking,,"POLYGON ((7.7615463 49.4612302, 7.7613392 49.4609178, 7.7620524 49.4609465, 7.7622241 49.4608997, 7.762844 49.4609632, 7.7628329 49.4610044, 7.7626757 49.4609934, 7.7626783 49.4610366, 7.7624899 49.461054, 7.7624664 49.4610161, 7.7623191 49.4610458, 7.7621184 49.4610989, 7.7620608 49.4611007, 7.7620561 49.4611392, 7.7617521 49.4611359, 7.761732 49.461237, 7.7615463 49.4612302))",,,,,yes,,,,,,,,,,,,,,,,,,,,"[339452057, 270915080, 3706547544, 1032261755, 9079388424, 9079475209, 9079475192, 9079475193, 9079475194, 9079475195, 9079475210, 9079475205, 9079475206, 9079475207, 9079475211, 9079475212, 339452057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30697127,parking,,"POLYGON ((7.7613236 49.4590868, 7.7611276 49.4590099, 7.7610277 49.4588892, 7.7608748 49.4585007, 7.7606405 49.4578964, 7.7606326 49.4576572, 7.760901 49.4574887, 7.7609557 49.4581566, 7.7610154 49.4585274, 7.7611088 49.4588041, 7.7613236 49.4590868))",,,,,limited,,,,,,,,,,,,,,,,,,,,"[339452639, 1099684763, 339452647, 1037764831, 1037764788, 339452650, 339452645, 1037764903, 1099684551, 1099684658, 339452639]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30697128,parking,,"POLYGON ((7.761163 49.4580252, 7.7612746 49.4579551, 7.7612584 49.4574754, 7.7612287 49.4572205, 7.7611175 49.4571829, 7.7610857 49.4571722, 7.7611336 49.4574819, 7.7611613 49.4579942, 7.761163 49.4580252))",,,,,limited,,,,,,,,,,,,,,,,,,,,"[1099684543, 339452658, 1290176066, 339452660, 1545230351, 339452655, 1290175893, 1545230354, 1099684543]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30746445,parking,,"POLYGON ((7.7646073 49.464851, 7.7646754 49.4646427, 7.7647025 49.4646464, 7.7647375 49.4645393, 7.7646093 49.4645213, 7.7646811 49.4643722, 7.7647471 49.4642351, 7.7647825 49.4641616, 7.7651363 49.4642388, 7.7649324 49.4646312, 7.7648475 49.4648819, 7.7646073 49.464851))",,,,,yes,,,,,,,,,,,,,,,,,,,,"[340037239, 1083495921, 1083496005, 340037241, 340037242, 1083495483, 1083495681, 340037243, 340037240, 1083495641, 270490684, 340037239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30751591,parking,,"POLYGON ((7.8021783 49.4396133, 7.8011146 49.4397658, 7.7999225 49.4401311, 7.7997979 49.4399501, 7.7997469 49.4398735, 7.799633 49.4398326, 7.7994759 49.4397994, 7.7993424 49.439756, 7.7991879 49.4395187, 7.8006713 49.4390573, 7.8008746 49.4393458, 7.8013874 49.4392728, 7.8019035 49.4391556, 7.8021783 49.4396133))",yes,,,Warmfreibad,,,,,,,,,,,,,,,,,,,,,"[340093452, 2177212505, 340093463, 1217317366, 1217317117, 1217317448, 1217317503, 1217317300, 340093465, 1217317370, 340093453, 2177212460, 1217317197, 340093452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30754025,parking,,"POLYGON ((7.7278319 49.4605564, 7.7281556 49.4603748, 7.7280373 49.4602857, 7.7277136 49.4604674, 7.7278319 49.4605564))",,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,"[340123390, 340123391, 340123392, 340123393, 340123390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30754626,parking,surface,"POLYGON ((7.7079509 49.4418499, 7.7076492 49.44181, 7.7074598 49.4417661, 7.7072922 49.4416939, 7.7071769 49.4415924, 7.7071235 49.4414908, 7.7071281 49.4413566, 7.707177 49.4412443, 7.7073222 49.4410798, 7.7075634 49.4408961, 7.7077279 49.440743, 7.7077776 49.440715, 7.7083096 49.4408019, 7.7082931 49.4408444, 7.7083854 49.4408596, 7.7084887 49.4408765, 7.708507 49.440828, 7.7087666 49.4408716, 7.7093558 49.4406417, 7.7095641 49.4406742, 7.7095441 49.4407256, 7.7096502 49.440743, 7.7097494 49.4407593, 7.7097674 49.4407129, 7.7099369 49.4407412, 7.7099549 49.4406868, 7.710003 49.4405631, 7.7101082 49.4402922, 7.710351 49.4403321, 7.7100915 49.4410775, 7.7098735 49.441201, 7.7088883 49.4415947, 7.7085821 49.4417167, 7.7083481 49.4417866, 7.7080893 49.4418385, 7.7079509 49.4418499))",permissive,,,,yes,,,,,,,,,,,,,,,,,,,,"[340130664, 1180604640, 1180604178, 1180604718, 1180604033, 1180604265, 1180605515, 1180604382, 1180605170, 1180604152, 340130665, 1180604825, 1180604528, 1180604895, 1827468941, 1180605043, 1180604622, 1180604121, 1180604698, 1180604980, 1180605137, 1827468937, 1180605506, 1180604675, 1180604475, 1180605011, 5866001880, 1180604444, 1180605340, 17053729, 1180604911, 1180605048, 1180604563, 1180605213, 1180604743, 340130664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31952634,parking,surface,"POLYGON ((7.7548991 49.424791, 7.7547453 49.424414, 7.7543417 49.4244837, 7.7543592 49.4245266, 7.7541782 49.4245578, 7.7543145 49.4248919, 7.7548991 49.424791))",private,,,,,,,,,,,,,Universität Kaiserslautern,,,,,,,,,,,"[3990465352, 357866375, 628647574, 1885028492, 357866373, 3990472060, 3990465352]",Mitarbeiterparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31952635,parking,surface,"POLYGON ((7.7555792 49.4246755, 7.7554248 49.4243029, 7.7550205 49.4243738, 7.7550381 49.4244163, 7.7548817 49.4244437, 7.7550184 49.4247738, 7.7555792 49.4246755))",private,,,,,,,,,,,,,Universität Kaiserslautern,,,,,,,,,,,"[3990465349, 357866379, 628647584, 1298231749, 357866382, 3990465351, 3990465349]",Mitarbeiterparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31952636,parking,surface,"POLYGON ((7.7562807 49.4245516, 7.7561231 49.4241923, 7.7557167 49.4242593, 7.7557337 49.4243018, 7.7555755 49.4243276, 7.7557136 49.4246513, 7.7562807 49.4245516))",private,,,,,,,,,,,,,Universität Kaiserslautern,,,,,,,,,,,"[357866385, 357866387, 1885028490, 1885028491, 357866389, 357866384, 357866385]",Mitarbeiterparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32055646,parking,surface,"POLYGON ((7.7532503 49.4253659, 7.7532284 49.425317, 7.7531496 49.4253289, 7.7530336 49.4250756, 7.7531235 49.4250586, 7.7530875 49.4249782, 7.7532175 49.4249562, 7.7533145 49.4251732, 7.7532506 49.4251853, 7.7532712 49.4252327, 7.7533201 49.4252552, 7.753648 49.4251932, 7.7536882 49.425283, 7.7532503 49.4253659))",private,no,,,,,,,,,,,,,,,,,,,,,,,"[359859346, 3990472078, 3990472079, 359859351, 3990472063, 3990472061, 359859353, 3990472067, 3990472069, 359859350, 4319684258, 359859349, 359859348, 359859346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32458515,parking,,"POLYGON ((7.7025156 49.4186078, 7.7026302 49.4185261, 7.702832 49.4186457, 7.7027174 49.4187275, 7.7025156 49.4186078))",,,,,,,,,,,,,,,,,,,,,,,,,"[364896427, 364896430, 364896431, 364896428, 364896427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32458561,parking,,"POLYGON ((7.6981292 49.4121068, 7.6973674 49.412733, 7.6970302 49.4125735, 7.6971154 49.4121972, 7.6973083 49.4120385, 7.6975781 49.4118165, 7.6981292 49.4121068))",,,,,,,,,,,,,,,,,,,,,,,,,"[364896811, 364896815, 364896817, 364896820, 2165734462, 364896813, 364896811]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32458645,parking,surface,"POLYGON ((7.7472269 49.4263869, 7.7469916 49.4258222, 7.7478181 49.4256825, 7.7482835 49.4256009, 7.748382 49.4258384, 7.747865 49.4259291, 7.7479987 49.4262516, 7.7472269 49.4263869))",private,,,,,,,,,,,,,,,,,,,,,,,,"[364896353, 364896355, 364896356, 364896358, 364896360, 364896357, 364896354, 364896353]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32687934,parking,surface,"POLYGON ((7.748523 49.4236745, 7.7489531 49.4246625, 7.7492075 49.4246055, 7.7491981 49.4236599, 7.7490537 49.4235752, 7.748523 49.4236745))",yes,no,,,,,,,,,,,,,,,,,,,,,,,"[367841331, 367841333, 367841335, 1298231743, 367841336, 367841331]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
