element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
way,1133937078,,parking_space,,,,"POLYGON ((7.0018442 49.2338804, 7.0018795 49.2338672, 7.0018522 49.2338356, 7.001817 49.2338488, 7.0018442 49.2338804))","[10571713482, 10571713481, 10571713489, 10571713491, 10571713482]",,1,normal
way,1133937079,,parking_space,,,,"POLYGON ((7.0018221 49.2338998, 7.0018307 49.2338966, 7.0018514 49.2338889, 7.0018442 49.2338804, 7.001817 49.2338488, 7.0017869 49.23386, 7.0018221 49.2338998))","[10571713507, 10571713508, 10571713506, 10571713482, 10571713491, 10571713493, 10571713507]",,1,normal
way,1133937080,,parking_space,,,,"POLYGON ((7.0017928 49.2339107, 7.0018025 49.2339071, 7.0018221 49.2338998, 7.0017869 49.23386, 7.0017585 49.2338706, 7.0017928 49.2339107))","[10571713512, 10571713513, 10571713507, 10571713493, 10571713492, 10571713512]",,1,normal
way,1133937081,,parking_space,,,,"POLYGON ((7.0017485 49.2339272, 7.0017607 49.2339226, 7.0017743 49.2339176, 7.0017767 49.2339167, 7.0017426 49.2338766, 7.0017142 49.2338872, 7.0017485 49.2339272))","[10571713516, 10571713517, 10571713510, 10571713511, 10571713494, 10571713495, 10571713516]",,1,normal
way,1133937082,,parking_space,,,,"POLYGON ((7.0017192 49.2339381, 7.0017314 49.2339335, 7.0017485 49.2339272, 7.0017142 49.2338872, 7.0016841 49.2338985, 7.0017192 49.2339381))","[10571713519, 10571713520, 10571713516, 10571713495, 10571713497, 10571713519]",,1,normal
way,1133937083,,parking_space,,,,"POLYGON ((7.0016899 49.233949, 7.0017022 49.2339444, 7.0017192 49.2339381, 7.0016841 49.2338985, 7.0016557 49.2339091, 7.0016899 49.233949))","[10571713524, 10571713525, 10571713519, 10571713497, 10571713496, 10571713524]",,1,normal
way,1133937084,,parking_space,,,,"POLYGON ((7.0016473 49.2339649, 7.0016578 49.233961, 7.0016718 49.2339558, 7.0016766 49.233954, 7.0016424 49.2339141, 7.0016132 49.233925, 7.0016473 49.2339649))","[10571713528, 10571713529, 10571713522, 10571713523, 10571713498, 10571713499, 10571713528]",,1,normal
way,1133937085,,parking_space,,,,"POLYGON ((7.001618 49.2339758, 7.0016285 49.2339719, 7.0016473 49.2339649, 7.0016132 49.233925, 7.0015839 49.233936, 7.001618 49.2339758))","[10571713531, 10571713532, 10571713528, 10571713499, 10571713501, 10571713531]",,1,normal
way,1133937086,,parking_space,,,,"POLYGON ((7.0015887 49.2339867, 7.0015992 49.2339828, 7.001618 49.2339758, 7.0015839 49.233936, 7.0015547 49.2339469, 7.0015887 49.2339867))","[10571713536, 10571713537, 10571713531, 10571713501, 10571713500, 10571713536]",,1,normal
way,1133937087,,parking_space,,,,"POLYGON ((7.0015465 49.2340024, 7.0015565 49.2339987, 7.001571 49.2339933, 7.0015758 49.2339915, 7.0015417 49.2339518, 7.0015125 49.2339627, 7.0015465 49.2340024))","[10571713540, 10571713541, 10571713534, 10571713535, 10571713502, 10571713503, 10571713540]",,1,normal
way,1133937088,,parking_space,,,,"POLYGON ((7.0015172 49.2340133, 7.0015272 49.2340096, 7.0015465 49.2340024, 7.0015125 49.2339627, 7.0014832 49.2339737, 7.0015172 49.2340133))","[10571713543, 10571713544, 10571713540, 10571713503, 10571713505, 10571713543]",,1,normal
