element_type,osmid,amenity,authentication:debit_card,authentication:membership_card,authentication:money_card,capacity,fee,motorcar,opening_hours,operator,ref,geometry,website,amperage,contact:website,manufacturer,socket:schuko,socket:type2,fixme,operator:wikidata,name,authentication:pin,bicycle,charging_station:type,description,maxstay,payment:coins,scooter,truck,check_date:opening_hours,lit,noname,noref,authentication:nfc,socket:type2_combo,authentication:app,voltage,covered,operator:wikipedia,parking:fee,socket:chademo,socket:chademo:output,socket:type2:output,socket:type2_combo:output,charge,authentication:short_message,motor_vehicle,access,note,strapline,supervised,support,man_made,brand,start_date
node,9268221332,charging_station,,,,2,,,,Energie SaarLorLux;KBS - Gesellschaft für Kommunalanlagen und Beratung Saarbrücken mbH,,POINT (6.9757896 49.2382958),,,,,,,,,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9431024959,charging_station,,,,1,,,,,,POINT (7.0424749 49.2545867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,wall,,,
node,9601982184,charging_station,,,,2,yes,yes,,,,POINT (6.9687988 49.2188003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDI elektrisiert,
node,9980242795,charging_station,,,,,,,,,,POINT (7.0466865 49.2579209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,2022
node,10000363424,charging_station,,,,,,,,,,POINT (6.9637946 49.2359709),,,,hager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,wall,,,
node,10000363426,charging_station,,,,,,,,,,POINT (6.9633334 49.2364987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,,
node,10000406030,charging_station,,,,,,,,,,POINT (6.9650128 49.235557),,,,Hager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,
node,10075606350,charging_station,,,,2,no,,24/7,,,POINT (7.0473748 49.2578622),,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,
node,10122783408,charging_station,,,,2,,yes,,,,POINT (6.998971 49.2278706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10289851539,charging_station,,,,,,yes,,,,POINT (7.0278869 49.2087145),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10632582184,charging_station,,,,8,yes,no,,Landeshauptstadt Saarbrücken,,POINT (6.9857019 49.2483054),,,,,8,,,,,,yes,,,6 hours,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,
node,10661723764,charging_station,,,,,,,,htw saar,,POINT (7.0159431 49.2436029),,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10688958073,charging_station,,,,,,,,,,POINT (6.9638904 49.2359793),,,,hager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,wall,,,
node,10688958149,charging_station,,,,,,,,,,POINT (6.9636976 49.2359627),,,,hager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,wall,,,
node,10689169452,charging_station,,,,1,,,,private,,POINT (7.01183 49.2388283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,wall,,,
node,10731737194,charging_station,,,,,,yes,,,,POINT (7.021325 49.2717785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10748135450,charging_station,,,,2,,,24/7,Energie SaarLorLux,,POINT (7.0165442 49.2168393),,,,,,,,,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
