element_type,osmid,amenity,capacity:disabled,description,parking_space,wheelchair,geometry,surface,traffic_sign,access,capacity:charging,access:disabled,capacity:short,maxlength,capacity:parent,capacity:women,layer,level,capacity,level:ref,ref,emergency,source,capacity:car_sharing,name,nodes,parking,parking:disabled,building,ref:permit,lit,fee,opening_hours,smoothness,supervised,capacity:disabled:conditional,parking:orientation,fire_service,maxstay:conditional,doctor,start_date,note,hgv,access:description,capacity:trailer,covered,customers,operator,fee:conditional,maxstay,capacity:private,access:conditional,capacity:taxi,taxi,vehicle,disabled,fixme,noref,tourist_bus,capacity:hgv,parking:fee,surface:colour,parking_space:conditional
node,6019045339,parking_space,,inovex,private,,POINT (8.441812 49.0221955),paving_stones,,private,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045340,parking_space,,Exxeta,,,POINT (8.4418337 49.0222225),paving_stones,,private,,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045341,parking_space,,Exxeta,,,POINT (8.4418554 49.0222496),paving_stones,,private,,,,,,,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045342,parking_space,,Exxeta,,,POINT (8.4418771 49.0222766),paving_stones,,private,,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045343,parking_space,,Exxeta,,,POINT (8.4418988 49.0223036),paving_stones,,private,,,,,,,,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045344,parking_space,,Sick AG,,,POINT (8.4419205 49.0223307),paving_stones,,private,,,,,,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045345,parking_space,,Sick AG,,,POINT (8.4419422 49.0223577),paving_stones,,private,,,,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045346,parking_space,,Sick AG,,,POINT (8.4419639 49.0223847),paving_stones,,private,,,,,,,,,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045347,parking_space,,Sick AG,,,POINT (8.4419856 49.0224118),paving_stones,,private,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045348,parking_space,,Sick AG,,,POINT (8.4420073 49.0224388),paving_stones,,private,,,,,,,,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
