osmid,y,x,ref,highway,street_count,geometry
9065865690,48.9947144,8.4478846,,,1,POINT (8.4478846 48.9947144)
9068916386,49.0196735,8.3519786,,,3,POINT (8.3519786 49.0196735)
9068916397,49.0194258,8.3532382,,,3,POINT (8.3532382 49.0194258)
9068936954,49.0291256,8.3832391,,,1,POINT (8.3832391 49.0291256)
9069810857,49.0428256,8.333531,,,1,POINT (8.333531 49.0428256)
9070926567,48.9781674,8.4051006,,,1,POINT (8.4051006 48.9781674)
9070926570,48.9778348,8.4043712,,,3,POINT (8.4043712 48.9778348)
9070926571,48.9787234,8.404796,,,1,POINT (8.404796 48.9787234)
9070926573,48.9784697,8.4040282,,,3,POINT (8.4040282 48.9784697)
9072629606,49.0635288,8.379116,,,3,POINT (8.379116 49.0635288)
9072629608,49.0635974,8.3795225,,,1,POINT (8.3795225 49.0635974)
9072681059,49.0407147,8.3235164,,,3,POINT (8.3235164 49.0407147)
9072681064,49.0412459,8.3237156,,,3,POINT (8.3237156 49.0412459)
9082399879,49.0069319,8.4420662,,,1,POINT (8.4420662 49.0069319)
9105984802,49.0075637,8.44325,,,1,POINT (8.44325 49.0075637)
9132729728,49.0184323,8.3724239,,,1,POINT (8.3724239 49.0184323)
9136046706,48.9984337,8.3978717,,,1,POINT (8.3978717 48.9984337)
9136046708,48.9981463,8.3978586,,,3,POINT (8.3978586 48.9981463)
9136105942,48.9984768,8.3983438,,,1,POINT (8.3983438 48.9984768)
9136105944,48.9981552,8.3984218,,,3,POINT (8.3984218 48.9981552)
9141539358,48.9596321,8.4934857,,,1,POINT (8.4934857 48.9596321)
9141539774,48.9591367,8.4941818,,,1,POINT (8.4941818 48.9591367)
9141880257,49.014056,8.4931064,,,3,POINT (8.4931064 49.014056)
9141880258,49.0138317,8.4935158,,,1,POINT (8.4935158 49.0138317)
9156312488,49.0379737,8.3459664,,,1,POINT (8.3459664 49.0379737)
9160312101,49.0110458,8.4197593,,,1,POINT (8.4197593 49.0110458)
9160965151,49.0103448,8.3567977,,,1,POINT (8.3567977 49.0103448)
9169967887,49.0562137,8.3216564,,,2,POINT (8.3216564 49.0562137)
9169967888,49.0564312,8.3211346,,,2,POINT (8.3211346 49.0564312)
9175168510,49.0128902,8.358617,,,3,POINT (8.358617 49.0128902)
9175168512,49.0128538,8.3587047,,,1,POINT (8.3587047 49.0128538)
9176534750,49.0386793,8.3517289,,,1,POINT (8.3517289 49.0386793)
9176595224,49.038887,8.3517888,,,1,POINT (8.3517888 49.038887)
9188387934,48.9890072,8.4604112,,,1,POINT (8.4604112 48.9890072)
9188387936,48.9888123,8.4601215,,,3,POINT (8.4601215 48.9888123)
9192698675,49.0291748,8.3701822,,,1,POINT (8.3701822 49.0291748)
9192749905,49.0231175,8.3705756,,,3,POINT (8.3705756 49.0231175)
9192749944,49.0239715,8.370653,,,1,POINT (8.370653 49.0239715)
9196051835,49.0312684,8.3842514,,,1,POINT (8.3842514 49.0312684)
9197949107,49.0101753,8.4308161,,,1,POINT (8.4308161 49.0101753)
9198061564,49.0141178,8.414738,,,1,POINT (8.414738 49.0141178)
9214327607,48.9959137,8.4813595,,,3,POINT (8.4813595 48.9959137)
9214327612,48.9963522,8.4811638,,,1,POINT (8.4811638 48.9963522)
9214359751,48.9463365,8.4880635,,,1,POINT (8.4880635 48.9463365)
9214723653,48.9543939,8.5127216,,,1,POINT (8.5127216 48.9543939)
9214887859,48.99638,8.3783637,,,1,POINT (8.3783637 48.99638)
9228440758,48.9688983,8.411933,,,3,POINT (8.411933 48.9688983)
9230688319,48.9778593,8.4044527,,,3,POINT (8.4044527 48.9778593)
9230688321,48.9781191,8.4049158,,,1,POINT (8.4049158 48.9781191)
9230688343,48.9790036,8.4023932,,,3,POINT (8.4023932 48.9790036)
9230706620,48.9788961,8.4024539,,,1,POINT (8.4024539 48.9788961)
9230706624,48.9789068,8.4021384,,,3,POINT (8.4021384 48.9789068)
9231105069,48.9924414,8.4038882,,,3,POINT (8.4038882 48.9924414)
9244407508,49.0238397,8.347921,,,3,POINT (8.347921 49.0238397)
9248015497,49.04388,8.3664503,,,1,POINT (8.3664503 49.04388)
9248015498,49.0440512,8.3663589,,,3,POINT (8.3663589 49.0440512)
9250933385,49.0058904,8.4122123,,,4,POINT (8.4122123 49.0058904)
9251003099,48.9635935,8.4722064,,,1,POINT (8.4722064 48.9635935)
9251003102,48.9640984,8.4724222,,,3,POINT (8.4724222 48.9640984)
9264506415,49.0645406,8.375023,,,3,POINT (8.375023 49.0645406)
9264535018,49.0642084,8.3746689,,,1,POINT (8.3746689 49.0642084)
9264535019,49.0638535,8.3752976,,,3,POINT (8.3752976 49.0638535)
9264535020,49.0641494,8.3750486,,,1,POINT (8.3750486 49.0641494)
9270174689,49.0350039,8.3498911,,,1,POINT (8.3498911 49.0350039)
9270174690,49.0349362,8.3499967,,,3,POINT (8.3499967 49.0349362)
9270178324,49.0352399,8.3503168,,,1,POINT (8.3503168 49.0352399)
9287103254,49.0052855,8.4056293,,,1,POINT (8.4056293 49.0052855)
9287103290,49.0046726,8.404165,,,1,POINT (8.404165 49.0046726)
9290871659,49.0041523,8.4043311,,,1,POINT (8.4043311 49.0041523)
9310777420,49.0089185,8.4332306,,,1,POINT (8.4332306 49.0089185)
9310777421,49.0089017,8.4333267,,,1,POINT (8.4333267 49.0089017)
9310777487,49.0089345,8.4337928,,,3,POINT (8.4337928 49.0089345)
9310777488,49.0088178,8.4337982,,,1,POINT (8.4337982 49.0088178)
9310812154,49.010432,8.4359626,,,3,POINT (8.4359626 49.010432)
9310820047,49.008798,8.4350254,,,1,POINT (8.4350254 49.008798)
9310820092,49.0089062,8.4344499,,,3,POINT (8.4344499 49.0089062)
9310834596,49.0095923,8.4357564,,,3,POINT (8.4357564 49.0095923)
