element_type,osmid,operator,geometry,amenity,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,nodes,building,building:levels,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,name,opening_hours,roof:levels,roof:shape,shop,toilets:wheelchair,wheelchair:description,survey:date,check_date,disused:shop,old_name,internet_access,toilets,roof:height,source,building:colour,roof:colour,contact:email,contact:phone,contact:website,addr:suburb,cuisine,indoor_seating,internet_access:fee,outdoor_seating,payment:american_express,payment:cash,payment:contactless,payment:cryptocurrencies,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:v_pay,payment:visa,smoking,source:date,takeaway,nohousenumber,wikidata,wikipedia,roof:orientation,building:roof,diet:vegan,diet:vegetarian,layer,contact:fax,height,automated,self_service,start_date,website,location,fixme
way,134655045,,"POLYGON ((6.6847158 49.7517277, 6.6844949 49.7516347, 6.6846712 49.7514612, 6.6847557 49.7514397, 6.6850014 49.7514338, 6.6850106 49.7515587, 6.68492 49.7516441, 6.68483 49.7516036, 6.6847158 49.7517277))",,Trier,DE,9,54296,Am Weidengraben,,"[1480188724, 1480188725, 1480188726, 1480188727, 1480188711, 1480188712, 1480188713, 1480188714, 1480188724]",retail,1,Mix Markt,Q327854,de:Mix Markt,2022-01-28,Mix Markt,Mo-Fr 09:00-19:00; Sa 09:00-18:00; PH off,,flat,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,
way,136754260,,"POLYGON ((6.6406484 49.7568293, 6.6407003 49.7568983, 6.6406333 49.7569342, 6.6405747 49.7568591, 6.6406484 49.7568293))",,Trier,DE,52,54290,Dietrichstraße,,"[1420262835, 4584220852, 4444247836, 4444247837, 1420262835]",retail,3,,,,,,,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,137389321,,"POLYGON ((6.624275 49.7522865, 6.6243619 49.7522857, 6.6243636 49.7523661, 6.6242767 49.7523668, 6.624275 49.7522865))",restaurant,,,,,,,"[1507265457, 1507265458, 1507265474, 1507265473, 1507265457]",retail,1,,,,,Kingz Pizza,,0,,,,,,,,,,,,,,,,,,,pizza;burger;chicken;american;italian,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,
way,146876707,,"POLYGON ((6.6287377 49.7636329, 6.6287816 49.7636111, 6.6288436 49.7635804, 6.6289444 49.7636719, 6.6288356 49.7637219, 6.6287377 49.7636329))",,Trier,DE,2,54294,Kölner Straße,,"[1600995696, 6067337908, 1600995688, 1600995703, 1600995709, 1600995696]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,146931089,,"POLYGON ((6.6164224 49.7425056, 6.6165563 49.7426757, 6.6160355 49.742847, 6.6159015 49.7426769, 6.6161387 49.7425989, 6.6164224 49.7425056))",,Trier,DE,10,54294,Nikolaus-Theis-Straße,,"[1601450928, 1601450958, 1601450992, 1601450961, 8487110376, 1601450928]",retail,,,,,,Elektro Porn,,,,electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,147195330,,"POLYGON ((6.6134851 49.7376795, 6.6136167 49.7377766, 6.6138305 49.7376548, 6.6140122 49.7377887, 6.6141371 49.7378809, 6.6136059 49.7381834, 6.6135738 49.7381597, 6.6135245 49.7381878, 6.613426 49.7381152, 6.6134763 49.7380865, 6.6131687 49.7378597, 6.6134851 49.7376795))",,Trier,DE,29,54294,Eisenbahnstraße,yes,"[1604084126, 1604084156, 1604084106, 1604128463, 1604084180, 1604084237, 1604084232, 1604084240, 1604084223, 1604084215, 1604084175, 1604084126]",retail,1,Netto Marken-Discount,Q879858,de:Netto Marken-Discount,,Netto Marken-Discount,Mo-Sa 07:00-22:00; PH closed,2,flat,supermarket,,,,,,,,,,,,,,,https://www.netto-online.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,147962967,,"POLYGON ((6.6073504 49.7407969, 6.6073016 49.7407593, 6.6073434 49.7407246, 6.6073735 49.7407186, 6.6074234 49.7407568, 6.6073771 49.7407822, 6.6073504 49.7407969))",,Trier,DE,30,54294,St.-Helena-Straße,,"[1610809125, 1610809063, 1610809021, 1610809013, 1610809059, 1610809101, 1610809125]",retail,1,,,,,,,0,saltbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,150375678,Aldi Süd,"POLYGON ((6.6791059 49.7912862, 6.6791605 49.7912688, 6.6791353 49.7912198, 6.6793636 49.7911615, 6.6794089 49.791231, 6.6795017 49.7912106, 6.6796456 49.7914414, 6.6797513 49.7914193, 6.6798114 49.791519, 6.6797041 49.7915467, 6.6797898 49.7916839, 6.6794668 49.7917662, 6.6793846 49.7916355, 6.6793116 49.7915171, 6.6792544 49.7915317, 6.6791059 49.7912862))",,Trier,DE,98,54293,Ehranger Straße,,"[1632958187, 4482109289, 4482096088, 4482109290, 1632958154, 4482109291, 1632958200, 1632958194, 1632958209, 1632958211, 1632958240, 1632958281, 1632958214, 4134132780, 4134132779, 1632958187]",retail,,,,,,Aldi,Mo-Sa 08:00-20:00,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,151372279,,"POLYGON ((6.5870035 49.7223863, 6.5872642 49.7221551, 6.5873788 49.7222127, 6.5874273 49.7221699, 6.588227 49.722577, 6.5879058 49.722846, 6.5870662 49.7224183, 6.5870035 49.7223863))",,,,,,,,"[7177721918, 7177721919, 7177721921, 1227188084, 7177721920, 1641985948, 7177721923, 7177721918]",retail,2,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
way,151515696,,"POLYGON ((6.5797018 49.7211197, 6.5797439 49.7210902, 6.5797598 49.7210996, 6.5798298 49.7210517, 6.579851 49.721067, 6.5798226 49.7210826, 6.5799004 49.7211336, 6.5798521 49.7211623, 6.579903 49.7211892, 6.5798399 49.7212358, 6.579801 49.721209, 6.5797018 49.7211197))",,,,,,,,"[1643290894, 1643290876, 1643290883, 1643290857, 1643290863, 1643290872, 1643290897, 1643290912, 1643290919, 1643290944, 1643290935, 1643290894]",retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
