u,v,key,osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,width,access,service,bridge,junction,tunnel
20833713,20965077,0,"[153416368, 1041636611, 1157695093]",False,,Sickingenstraße,residential,True,249.84999999999997,30,"LINESTRING (6.651352 49.748487, 6.6510329 49.7482764, 6.650966 49.7482539, 6.6509168 49.748258, 6.6508728 49.7482686, 6.6508322 49.7482947, 6.6508179 49.748327, 6.6508246 49.7483699, 6.6508622 49.7484073, 6.6509632 49.7484609, 6.6511019 49.7485307, 6.6511861 49.7485846, 6.6512331 49.7486303, 6.6512517 49.7486712, 6.6512227 49.7487158, 6.6511736 49.7487404, 6.6511064 49.7487544, 6.6510368 49.7487501, 6.6509675 49.7487273, 6.6509048 49.7486791, 6.6508346 49.7486008, 6.650644 49.7483432, 6.65049 49.7481094, 6.6503965 49.7479783, 6.6503299 49.7478638, 6.6502638 49.7477502)",,,,,,,
20833713,3364424698,0,329551499,False,,,service,False,36.257999999999996,,"LINESTRING (6.651352 49.748487, 6.651393 49.7484306, 6.651393 49.748376, 6.6513421 49.7483335, 6.6513179 49.7482997, 6.6513233 49.7482616, 6.6513702 49.7482391, 6.6514346 49.748246)",,,,driveway,,,
20833718,1446851097,0,131474052,False,,,service,False,253.75900000000001,,"LINESTRING (6.653562 49.7496964, 6.6536864 49.7497713, 6.6541545 49.7500745, 6.6546767 49.7504201, 6.6551082 49.7508121, 6.6556066 49.7512648, 6.6558967 49.7511414)",,,,driveway,,,
20833718,20833724,0,153416368,False,,Sickingenstraße,residential,False,159.635,30,"LINESTRING (6.653562 49.7496964, 6.6536366 49.7496729, 6.653694 49.7496335, 6.6537139 49.7496113, 6.6537293 49.7495887, 6.6537369 49.7495417, 6.653722 49.7494572, 6.6536528 49.7493675, 6.6535949 49.7492759, 6.6534533 49.7490883, 6.6533512 49.7489187, 6.6533111 49.7487781, 6.6533113 49.7485568, 6.6533114 49.7483657)",,,,,,,
20833718,20833713,0,153416368,False,,Sickingenstraße,residential,True,210.57399999999998,30,"LINESTRING (6.653562 49.7496964, 6.6534621 49.7496921, 6.6533611 49.7496603, 6.6532187 49.7495453, 6.6530603 49.7494107, 6.652836 49.7492772, 6.6526657 49.7491914, 6.6519358 49.748814, 6.6515704 49.7486198, 6.651352 49.748487)",,,,,,,
20833724,2361045443,0,30044239,False,,Sickingenstraße,residential,False,246.53000000000003,,"LINESTRING (6.6533114 49.7483657, 6.6534866 49.7483738, 6.653775 49.748394, 6.6542626 49.7484102, 6.6545187 49.7483632, 6.6545769 49.7483454, 6.6547471 49.7482811, 6.6550095 49.7481386, 6.6551867 49.7480679, 6.6553847 49.7480283, 6.6555689 49.7479997, 6.6557669 49.7479979, 6.656032 49.7480111, 6.6563938 49.7480776, 6.6565444 49.7481157)",,,,,,,
20833724,4077759493,0,"[153416368, 1041636612]",False,,Sickingenstraße,residential,False,210.756,30,"LINESTRING (6.6533114 49.7483657, 6.6532917 49.7479312, 6.6532709 49.7475987, 6.6531915 49.7472711, 6.6531646 49.7471598, 6.6531579 49.746976, 6.6531822 49.7468672, 6.6532039 49.7468138, 6.6532386 49.7467622, 6.6532648 49.7467447, 6.6533621 49.7466887, 6.6534919 49.7466442, 6.6536068 49.7466341)",,,,,,,
20833724,20833718,0,153416368,False,,Sickingenstraße,residential,True,159.635,30,"LINESTRING (6.6533114 49.7483657, 6.6533113 49.7485568, 6.6533111 49.7487781, 6.6533512 49.7489187, 6.6534533 49.7490883, 6.6535949 49.7492759, 6.6536528 49.7493675, 6.653722 49.7494572, 6.6537369 49.7495417, 6.6537293 49.7495887, 6.6537139 49.7496113, 6.653694 49.7496335, 6.6536366 49.7496729, 6.653562 49.7496964)",,,,,,,
20833755,289374674,0,26412398,False,,Amely-Goebel-Straße,living_street,True,55.262,,"LINESTRING (6.6603084 49.7501084, 6.6608061 49.7497649, 6.660777 49.7497463)",,,,,,,
20833755,289374666,0,26412427,False,,Auf dem Petrisberg,residential,False,62.123999999999995,30,"LINESTRING (6.6603084 49.7501084, 6.6604587 49.7502003, 6.66047 49.7502073, 6.6609033 49.7504642, 6.6609431 49.7504878)",,,,,,,
20833755,289374605,0,26412427,False,,Auf dem Petrisberg,residential,True,109.51100000000001,30,"LINESTRING (6.6603084 49.7501084, 6.6601434 49.750007, 6.6600857 49.7499681, 6.6600269 49.7499243, 6.6600111 49.7498984, 6.6600097 49.749878, 6.660008 49.7498528, 6.6600215 49.7498099, 6.6600475 49.7497721, 6.6601436 49.7496938, 6.6603608 49.7495431, 6.6606415 49.7493549)",,,,,,,
