element_type,osmid,barrier,geometry,created_by,amenity,parking,wheelchair,access,name,private,capacity,layer,source,level,maxheight,fee,surface,toilets:wheelchair,check_date,ref,park_ride,supervised,operator,addr:city,addr:housenumber,addr:street,maxstay,lit,opening_hours,smoothness,motorcar,description,capacity:disabled,nodes,building,building:levels,roof:shape,fixme,capacity:tourist_bus,tourist_bus,hgv,operator:type,capacity:women,toilets,toilets:access,addr:country,addr:postcode,fee:conditional,building:material,roof:levels,maxweight,motorcycle,capacity:parent,maxstay:conditional,tunnel,access:conditional,orientation,landuse,check_date:fee,payment:cash,payment:credit_cards,payment:debit_cards,parking:orientation,ways,type
way,32134291,,"POLYGON ((6.6313888 49.7414441, 6.631325 49.74127, 6.6309475 49.7412852, 6.6309203 49.7413065, 6.6310014 49.7415027, 6.6313888 49.7414441))",,parking,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1229369782, 4846474900, 4846474912, 360727551, 4849874445, 1229369782]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32341124,,"POLYGON ((6.6938382 49.8240426, 6.6935209 49.8237558, 6.6935816 49.8237245, 6.6938959 49.8240169, 6.6938382 49.8240426))",,parking,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1437763922, 295143617, 1437763917, 1437763920, 1437763922]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33429998,,"POLYGON ((6.7116412 49.7906003, 6.7115473 49.7905741, 6.7114346 49.7905529, 6.7111327 49.7907256, 6.7111924 49.7908646, 6.7116412 49.7906003))",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[380401611, 524453912, 380401614, 380401613, 380401612, 380401611]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33429999,,"POLYGON ((6.7112564 49.790565, 6.711093 49.7906613, 6.7109871 49.790586, 6.7111504 49.7904897, 6.7112564 49.790565))",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[380401607, 380401608, 380401609, 380401610, 380401607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34100095,,"POLYGON ((6.6583189 49.7285232, 6.6582248 49.7284773, 6.6584494 49.7282851, 6.6585435 49.728331, 6.6583189 49.7285232))",,parking,street_side,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,"[390891710, 390891712, 390891715, 390891717, 390891710]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34754715,,"POLYGON ((6.6432472 49.7438484, 6.6432433 49.7438236, 6.643234 49.7437642, 6.6435463 49.7437442, 6.6435489 49.7438728, 6.6432752 49.7438495, 6.6432472 49.7438484))",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[405327135, 6315724799, 405327137, 405327141, 405327144, 1721654916, 405327135]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35396389,,"POLYGON ((6.6162326 49.7283697, 6.6165757 49.7286618, 6.6170298 49.7284213, 6.6166693 49.7281304, 6.6162326 49.7283697))",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[415254796, 415254798, 415254799, 415254800, 415254796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37880084,,"POLYGON ((6.6840832 49.7512422, 6.6844533 49.7508326, 6.6843524 49.750516, 6.6843624 49.7504752, 6.6843422 49.7504303, 6.6842536 49.7504162, 6.6836807 49.7510466, 6.6840832 49.7512422))",,parking,surface,,private,,,,,,,,,,,,,,,,,,,,,,,,,,"[444539722, 444539723, 444539724, 2361045570, 2361045566, 444539725, 444539727, 444539722]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38781418,,"POLYGON ((6.6931904 49.7795664, 6.6930896 49.7795303, 6.6928645 49.779475, 6.6927005 49.7796129, 6.6929425 49.7796284, 6.6930141 49.7796484, 6.6930551 49.7796369, 6.6931153 49.7796132, 6.6931904 49.7795664))",,parking,,,,Spielesplatz,,12,,,,,,,,,,,,,,,,,,,,,,,"[269702283, 1460866001, 459967490, 459967488, 1457703309, 459984644, 3481292943, 3481292944, 269702283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38783650,,"POLYGON ((6.692391 49.7804629, 6.6921112 49.7804234, 6.6924503 49.7801417, 6.692391 49.7804629))",,parking,,,,Mechtelstraße,,,,,,,,,,,,,,,,,,,,,,,,,"[1460873711, 459984641, 459984642, 1460873711]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
