element_type,osmid,amenity,capacity,check_date,geometry,parking_space,nodes,parking
way,974356918,parking_space,,,"POLYGON ((6.6755808 49.74833, 6.67561 49.7483412, 6.6756437 49.7483047, 6.6756145 49.7482935, 6.6755808 49.74833))",,"[9017324201, 9017324199, 9017324198, 9017324200, 9017324201]",
way,974356919,parking_space,,,"POLYGON ((6.6755516 49.7483187, 6.6755808 49.74833, 6.6756145 49.7482935, 6.6755853 49.7482823, 6.6755516 49.7483187))",,"[9017324203, 9017324201, 9017324200, 9017324202, 9017324203]",
way,974356920,parking_space,,,"POLYGON ((6.6755224 49.7483075, 6.6755516 49.7483187, 6.6755853 49.7482823, 6.6755561 49.748271, 6.6755224 49.7483075))",,"[9017324204, 9017324203, 9017324202, 9017324205, 9017324204]",
way,974356921,parking_space,,,"POLYGON ((6.6757497 49.7483458, 6.6757215 49.7483349, 6.675687 49.7483721, 6.6757153 49.748383, 6.6757497 49.7483458))",,"[9017324209, 9017324219, 9017324216, 9017324208, 9017324209]",
way,974356922,parking_space,,,"POLYGON ((6.675778 49.7483567, 6.6757497 49.7483458, 6.6757153 49.748383, 6.6757435 49.748394, 6.675778 49.7483567))",,"[9017324211, 9017324209, 9017324208, 9017324210, 9017324211]",
way,974356923,parking_space,,,"POLYGON ((6.6758062 49.7483676, 6.675778 49.7483567, 6.6757435 49.748394, 6.6757717 49.7484049, 6.6758062 49.7483676))",,"[9017324213, 9017324211, 9017324210, 9017324212, 9017324213]",
way,974356924,parking_space,,,"POLYGON ((6.6758344 49.7483786, 6.6758062 49.7483676, 6.6757717 49.7484049, 6.6757999 49.7484158, 6.6758344 49.7483786))",,"[9017324215, 9017324213, 9017324212, 9017324214, 9017324215]",
way,974356925,parking_space,,,"POLYGON ((6.6758627 49.7483895, 6.6758344 49.7483786, 6.6757999 49.7484158, 6.6758282 49.7484267, 6.6758627 49.7483895))",,"[9017324218, 9017324215, 9017324214, 9017324217, 9017324218]",
way,974356926,parking_space,,,"POLYGON ((6.6759153 49.7484086, 6.6758872 49.7483975, 6.6758512 49.7484355, 6.6758792 49.7484466, 6.6759153 49.7484086))",,"[9017324221, 9017324228, 9017324229, 9017324220, 9017324221]",
way,974356927,parking_space,,,"POLYGON ((6.6759433 49.7484197, 6.6759153 49.7484086, 6.6758792 49.7484466, 6.6759072 49.7484577, 6.6759433 49.7484197))",,"[9017324223, 9017324221, 9017324220, 9017324222, 9017324223]",
way,974356928,parking_space,,,"POLYGON ((6.6759713 49.7484308, 6.6759433 49.7484197, 6.6759072 49.7484577, 6.6759352 49.7484688, 6.6759713 49.7484308))",,"[9017324225, 9017324223, 9017324222, 9017324224, 9017324225]",
way,974356929,parking_space,,,"POLYGON ((6.6759993 49.7484419, 6.6759713 49.7484308, 6.6759352 49.7484688, 6.6759633 49.7484799, 6.6759993 49.7484419))",,"[9017324227, 9017324225, 9017324224, 9017324226, 9017324227]",
way,974356930,parking_space,,,"POLYGON ((6.6760273 49.748453, 6.6759993 49.7484419, 6.6759633 49.7484799, 6.6759913 49.748491, 6.6760273 49.748453))",,"[9017324231, 9017324227, 9017324226, 9017324230, 9017324231]",
way,974356932,parking_space,,,"POLYGON ((6.6760778 49.7484737, 6.6760497 49.7484625, 6.6760142 49.7484999, 6.6760424 49.7485111, 6.6760778 49.7484737))",,"[9017324241, 9017324248, 9017324249, 9017324240, 9017324241]",
way,974356933,parking_space,,,"POLYGON ((6.676106 49.7484848, 6.6760778 49.7484737, 6.6760424 49.7485111, 6.6760705 49.7485222, 6.676106 49.7484848))",,"[9017324243, 9017324241, 9017324240, 9017324242, 9017324243]",
way,974356934,parking_space,,,"POLYGON ((6.6761342 49.748496, 6.676106 49.7484848, 6.6760705 49.7485222, 6.6760987 49.7485334, 6.6761342 49.748496))",,"[9017324245, 9017324243, 9017324242, 9017324244, 9017324245]",
way,974356935,parking_space,,,"POLYGON ((6.6761623 49.7485071, 6.6761342 49.748496, 6.6760987 49.7485334, 6.6761269 49.7485445, 6.6761623 49.7485071))",,"[9017324247, 9017324245, 9017324244, 9017324246, 9017324247]",
way,974356936,parking_space,,,"POLYGON ((6.6761905 49.7485183, 6.6761623 49.7485071, 6.6761269 49.7485445, 6.676155 49.7485557, 6.6761905 49.7485183))",,"[9017324251, 9017324247, 9017324246, 9017324250, 9017324251]",
way,974356937,parking_space,,,"POLYGON ((6.6762407 49.7485381, 6.6762127 49.7485272, 6.6761778 49.7485645, 6.6762058 49.7485754, 6.6762407 49.7485381))",,"[9017324253, 9017324260, 9017324261, 9017324252, 9017324253]",
way,974356938,parking_space,,,"POLYGON ((6.6762687 49.7485491, 6.6762407 49.7485381, 6.6762058 49.7485754, 6.6762338 49.7485864, 6.6762687 49.7485491))",,"[9017324255, 9017324253, 9017324252, 9017324254, 9017324255]",
way,974356939,parking_space,,,"POLYGON ((6.6762967 49.74856, 6.6762687 49.7485491, 6.6762338 49.7485864, 6.6762618 49.7485973, 6.6762967 49.74856))",,"[9017324257, 9017324255, 9017324254, 9017324256, 9017324257]",
way,974356940,parking_space,,,"POLYGON ((6.6763247 49.7485709, 6.6762967 49.74856, 6.6762618 49.7485973, 6.6762898 49.7486082, 6.6763247 49.7485709))",,"[9017324259, 9017324257, 9017324256, 9017324258, 9017324259]",
way,974356941,parking_space,,,"POLYGON ((6.6763527 49.7485819, 6.6763247 49.7485709, 6.6762898 49.7486082, 6.6763178 49.7486192, 6.6763527 49.7485819))",,"[9017324263, 9017324259, 9017324258, 9017324262, 9017324263]",
way,974356942,parking_space,,,"POLYGON ((6.6769242 49.7485893, 6.6769041 49.7486106, 6.6769616 49.7486333, 6.6769817 49.7486121, 6.6769242 49.7485893))",,"[9017324270, 9017324286, 9017324283, 9017324269, 9017324270]",
way,974356943,parking_space,,,"POLYGON ((6.6769443 49.7485681, 6.6769242 49.7485893, 6.6769817 49.7486121, 6.6770018 49.7485909, 6.6769443 49.7485681))",,"[9017324272, 9017324270, 9017324269, 9017324271, 9017324272]",
way,974356944,parking_space,,,"POLYGON ((6.6769644 49.7485469, 6.6769443 49.7485681, 6.6770018 49.7485909, 6.6770219 49.7485696, 6.6769644 49.7485469))",,"[9017324274, 9017324272, 9017324271, 9017324273, 9017324274]",
way,974356945,parking_space,,,"POLYGON ((6.6769845 49.7485257, 6.6769644 49.7485469, 6.6770219 49.7485696, 6.677042 49.7485484, 6.6769845 49.7485257))",,"[9017324276, 9017324274, 9017324273, 9017324275, 9017324276]",
way,974356946,parking_space,,,"POLYGON ((6.6770046 49.7485045, 6.6769845 49.7485257, 6.677042 49.7485484, 6.6770621 49.7485272, 6.6770046 49.7485045))",,"[9017324278, 9017324276, 9017324275, 9017324277, 9017324278]",
way,974356947,parking_space,,,"POLYGON ((6.6770246 49.7484833, 6.6770046 49.7485045, 6.6770621 49.7485272, 6.6770822 49.748506, 6.6770246 49.7484833))",,"[9017324280, 9017324278, 9017324277, 9017324279, 9017324280]",
way,974356948,parking_space,,,"POLYGON ((6.6770447 49.748462, 6.6770246 49.7484833, 6.6770822 49.748506, 6.6771023 49.7484848, 6.6770447 49.748462))",,"[9017324282, 9017324280, 9017324279, 9017324281, 9017324282]",
way,974356949,parking_space,,,"POLYGON ((6.6770648 49.7484408, 6.6770447 49.748462, 6.6771023 49.7484848, 6.6771223 49.7484636, 6.6770648 49.7484408))",,"[9017324285, 9017324282, 9017324281, 9017324284, 9017324285]",
way,974356950,parking_space,,,"POLYGON ((6.6772434 49.7485343, 6.6772614 49.7485149, 6.6772022 49.7484919, 6.6771842 49.7485113, 6.6772434 49.7485343))",,"[9017324288, 9017324301, 9017324300, 9017324287, 9017324288]",
way,974356951,parking_space,,,"POLYGON ((6.6772254 49.7485537, 6.6772434 49.7485343, 6.6771842 49.7485113, 6.6771662 49.7485307, 6.6772254 49.7485537))",,"[9017324290, 9017324288, 9017324287, 9017324289, 9017324290]",
way,974356952,parking_space,,,"POLYGON ((6.6772074 49.748573, 6.6772254 49.7485537, 6.6771662 49.7485307, 6.6771482 49.74855, 6.6772074 49.748573))",,"[9017324292, 9017324290, 9017324289, 9017324291, 9017324292]",
way,974356953,parking_space,,,"POLYGON ((6.6771894 49.7485924, 6.6772074 49.748573, 6.6771482 49.74855, 6.6771302 49.7485694, 6.6771894 49.7485924))",,"[9017324294, 9017324292, 9017324291, 9017324293, 9017324294]",
way,974356954,parking_space,,,"POLYGON ((6.6771714 49.7486118, 6.6771894 49.7485924, 6.6771302 49.7485694, 6.6771122 49.7485888, 6.6771714 49.7486118))",,"[9017324296, 9017324294, 9017324293, 9017324295, 9017324296]",
way,974356955,parking_space,,,"POLYGON ((6.6771534 49.7486311, 6.6771714 49.7486118, 6.6771122 49.7485888, 6.6770941 49.7486082, 6.6771534 49.7486311))",,"[9017324298, 9017324296, 9017324295, 9017324297, 9017324298]",
way,974356956,parking_space,,,"POLYGON ((6.6771354 49.7486505, 6.6771534 49.7486311, 6.6770941 49.7486082, 6.6770761 49.7486275, 6.6771354 49.7486505))",,"[9017324302, 9017324298, 9017324297, 9017324299, 9017324302]",
way,974356958,parking_space,,,"POLYGON ((6.677162 49.7486344, 6.6771439 49.7486537, 6.677203 49.748677, 6.6772212 49.7486578, 6.677162 49.7486344))",,"[9017324315, 9017324329, 9017324328, 9017324314, 9017324315]",
way,974356959,parking_space,,,"POLYGON ((6.6771802 49.7486152, 6.677162 49.7486344, 6.6772212 49.7486578, 6.6772393 49.7486385, 6.6771802 49.7486152))",,"[9017324317, 9017324315, 9017324314, 9017324316, 9017324317]",
way,974356960,parking_space,,,"POLYGON ((6.6771984 49.748596, 6.6771802 49.7486152, 6.6772393 49.7486385, 6.6772575 49.7486193, 6.6771984 49.748596))",,"[9017324319, 9017324317, 9017324316, 9017324318, 9017324319]",
way,974356961,parking_space,,,"POLYGON ((6.6772165 49.7485767, 6.6771984 49.748596, 6.6772575 49.7486193, 6.6772757 49.7486, 6.6772165 49.7485767))",,"[9017324321, 9017324319, 9017324318, 9017324320, 9017324321]",
way,974356962,parking_space,,,"POLYGON ((6.6772347 49.7485575, 6.6772165 49.7485767, 6.6772757 49.7486, 6.6772938 49.7485808, 6.6772347 49.7485575))",,"[9017324323, 9017324321, 9017324320, 9017324322, 9017324323]",
way,974356963,parking_space,,,"POLYGON ((6.6772528 49.7485383, 6.6772347 49.7485575, 6.6772938 49.7485808, 6.677312 49.7485616, 6.6772528 49.7485383))",,"[9017324325, 9017324323, 9017324322, 9017324324, 9017324325]",
